,I2,V2,If,Vf
0,+1.000000E-06,+2.999320E+00,+1.932270E-06,-2.998030E+00
1,+1.259000E-06,+2.599448E+00,+1.948300E-06,-2.598754E+00
2,+1.585000E-06,+2.610880E+00,+2.274240E-06,-2.610038E+00
3,+1.996000E-06,+2.623820E+00,+2.640990E-06,-2.622296E+00
4,+2.513000E-06,+2.635860E+00,+3.196010E-06,-2.634896E+00
5,+3.163000E-06,+2.648180E+00,+3.851140E-06,-2.647174E+00
6,+3.983000E-06,+2.660220E+00,+4.656670E-06,-2.659378E+00
7,+5.014000E-06,+2.704240E+00,+5.672830E-06,-2.702294E+00
8,+6.313000E-06,+2.705020E+00,+6.894220E-06,-2.703884E+00
9,+7.948000E-06,+2.693880E+00,+8.560680E-06,-2.692442E+00
10,+1.001000E-05,+2.711120E+00,+1.068378E-05,-2.709686E+00
11,+1.260000E-05,+2.710260E+00,+1.317080E-05,-2.706784E+00
12,+1.586000E-05,+2.686260E+00,+1.653410E-05,-2.684676E+00
13,+1.997000E-05,+2.682940E+00,+2.058890E-05,-2.681086E+00
14,+2.514000E-05,+2.686980E+00,+2.576500E-05,-2.684876E+00
15,+3.166000E-05,+2.691680E+00,+3.227220E-05,-2.689464E+00
16,+3.986000E-05,+2.689220E+00,+4.050700E-05,-2.686724E+00
17,+5.018000E-05,+2.686700E+00,+5.076570E-05,-2.683900E+00
18,+6.318000E-05,+2.692880E+00,+6.371550E-05,-2.689674E+00
19,+7.954000E-05,+2.701700E+00,+8.014360E-05,-2.698084E+00
20,+1.001000E-04,+2.711840E+00,+1.004409E-04,-2.707568E+00
21,+1.261000E-04,+2.724520E+00,+1.260710E-04,-2.718762E+00
22,+1.587000E-04,+2.732360E+00,+1.586560E-04,-2.725922E+00
23,+1.999000E-04,+2.742940E+00,+1.997570E-04,-2.735034E+00
24,+2.516000E-04,+2.754520E+00,+2.514960E-04,-2.744796E+00
25,+3.168000E-04,+2.766460E+00,+3.167360E-04,-2.754434E+00
26,+3.989000E-04,+2.778520E+00,+3.986990E-04,-2.763614E+00
27,+5.022000E-04,+2.790540E+00,+5.018980E-04,-2.772164E+00
28,+6.322000E-04,+2.802340E+00,+6.322420E-04,-2.779512E+00
29,+7.960000E-04,+2.813480E+00,+7.961230E-04,-2.785180E+00
30,+1.002000E-03,+2.817900E+00,+1.002190E-03,-2.787072E+00
31,+1.262000E-03,+2.832700E+00,+1.261830E-03,-2.788980E+00
32,+1.589000E-03,+2.842600E+00,+1.588900E-03,-2.788186E+00
33,+2.000000E-03,+2.854340E+00,+2.000500E-03,-2.786596E+00
