,I2,V2,If,Vf
0,+1.000000E-06,+2.999340E+00,+3.836000E-07,-2.997956E+00
1,+1.259000E-06,+3.003620E+00,+3.041500E-07,-3.002312E+00
2,+1.585000E-06,+3.001820E+00,+2.977900E-07,-3.000374E+00
3,+1.996000E-06,+3.000540E+00,+3.003700E-07,-2.999940E+00
4,+2.513000E-06,+3.000080E+00,+7.439000E-07,-2.999406E+00
5,+3.163000E-06,+2.999360E+00,+3.165400E-07,-2.998022E+00
6,+3.983000E-06,+2.999340E+00,+6.615820E-07,-2.999052E+00
7,+5.014000E-06,+2.999340E+00,+3.181900E-07,-2.998024E+00
8,+6.313000E-06,+2.999320E+00,+6.519570E-07,-2.999118E+00
9,+7.948000E-06,+2.999320E+00,+3.080000E-07,-2.998038E+00
10,+1.001000E-05,+2.999280E+00,+3.576900E-07,-2.999036E+00
11,+1.260000E-05,+2.999280E+00,+1.168478E-05,-2.999080E+00
12,+1.586000E-05,+2.999280E+00,+3.264000E-07,-2.999068E+00
13,+1.997000E-05,+2.999280E+00,+6.947300E-07,-2.999062E+00
14,+2.514000E-05,+2.999320E+00,+3.409000E-07,-2.997980E+00
15,+3.166000E-05,+2.999300E+00,+3.198100E-07,-2.999092E+00
16,+3.986000E-05,+2.999280E+00,+3.131300E-07,-2.999060E+00
17,+5.018000E-05,+2.999280E+00,+3.465000E-07,-2.999052E+00
18,+6.318000E-05,+2.999280E+00,+3.192600E-07,-2.999080E+00
19,+7.954000E-05,+2.999280E+00,+3.184800E-07,-2.999068E+00
20,+1.001000E-04,+2.999380E+00,-4.000000E-08,-2.998868E+00
21,+1.261000E-04,+2.999340E+00,+2.639600E-07,-2.998726E+00
22,+1.587000E-04,+2.999300E+00,+2.771400E-07,-2.998836E+00
23,+1.999000E-04,+2.999360E+00,+2.670100E-07,-2.998902E+00
24,+2.516000E-04,+2.999320E+00,+2.855700E-07,-2.998952E+00
25,+3.168000E-04,+2.999300E+00,+3.167800E-04,-2.999002E+00
26,+3.989000E-04,+2.805840E+00,+3.989040E-04,-2.788308E+00
27,+5.022000E-04,+2.813060E+00,+5.021090E-04,-2.793784E+00
28,+6.322000E-04,+2.822580E+00,+6.323310E-04,-2.799330E+00
29,+7.960000E-04,+2.831620E+00,+7.961300E-04,-2.803496E+00
30,+1.002000E-03,+2.834960E+00,+1.002280E-03,-2.803994E+00
31,+1.262000E-03,+2.847600E+00,+1.261980E-03,-2.803980E+00
32,+1.589000E-03,+2.856480E+00,+1.588810E-03,-2.802124E+00
33,+2.000000E-03,+2.866980E+00,+2.000450E-03,-2.799164E+00
