,I2,V2,If,Vf
0,+1.000000E-06,+2.999300E+00,+1.839000E-07,-2.998264E+00
1,+1.259000E-06,+3.000200E+00,+1.832700E-07,-2.999470E+00
2,+1.585000E-06,+2.999780E+00,+1.548900E-07,-2.999610E+00
3,+1.996000E-06,+2.999520E+00,+1.698100E-07,-2.999248E+00
4,+2.513000E-06,+2.999420E+00,+2.927980E-07,-2.999230E+00
5,+3.163000E-06,+2.999320E+00,+1.446900E-07,-2.998352E+00
6,+3.983000E-06,+2.999360E+00,+4.360300E-06,-2.999076E+00
7,+5.014000E-06,+2.678220E+00,+5.405320E-06,-2.676724E+00
8,+6.313000E-06,+2.689480E+00,+6.688620E-06,-2.687914E+00
9,+7.948000E-06,+2.700220E+00,+8.327860E-06,-2.697650E+00
10,+1.001000E-05,+2.713600E+00,+1.040720E-05,-2.711506E+00
11,+1.260000E-05,+2.709400E+00,+1.294090E-05,-2.707822E+00
12,+1.586000E-05,+2.686700E+00,+1.623960E-05,-2.685000E+00
13,+1.997000E-05,+2.686220E+00,+2.037490E-05,-2.684468E+00
14,+2.514000E-05,+2.690800E+00,+2.551550E-05,-2.688730E+00
15,+3.166000E-05,+2.695620E+00,+3.201490E-05,-2.693300E+00
16,+3.986000E-05,+2.690960E+00,+4.021950E-05,-2.688592E+00
17,+5.018000E-05,+2.690140E+00,+5.050990E-05,-2.687354E+00
18,+6.318000E-05,+2.696860E+00,+6.347260E-05,-2.693698E+00
19,+7.954000E-05,+2.705940E+00,+7.981430E-05,-2.702366E+00
20,+1.001000E-04,+2.716140E+00,+1.003593E-04,-2.712100E+00
21,+1.261000E-04,+2.728400E+00,+1.260190E-04,-2.723062E+00
22,+1.587000E-04,+2.736620E+00,+1.586840E-04,-2.730344E+00
23,+1.999000E-04,+2.747300E+00,+1.998020E-04,-2.739534E+00
24,+2.516000E-04,+2.758880E+00,+2.515290E-04,-2.749298E+00
25,+3.168000E-04,+2.770780E+00,+3.167440E-04,-2.758902E+00
26,+3.989000E-04,+2.782520E+00,+3.988070E-04,-2.767968E+00
27,+5.022000E-04,+2.794640E+00,+5.019920E-04,-2.776350E+00
28,+6.322000E-04,+2.806340E+00,+6.322350E-04,-2.783596E+00
29,+7.960000E-04,+2.817320E+00,+7.960840E-04,-2.789092E+00
30,+1.002000E-03,+2.821460E+00,+1.002000E-03,-2.790758E+00
31,+1.262000E-03,+2.836120E+00,+1.261630E-03,-2.792432E+00
32,+1.589000E-03,+2.845720E+00,+1.588690E-03,-2.791428E+00
33,+2.000000E-03,+2.857140E+00,+2.000320E-03,-2.789536E+00
