,I2,V2,If,Vf
0,+1.000000E-06,+1.515400E-02,+3.477900E-06,-1.361400E-02
1,+1.259000E-06,+8.596400E-02,+3.506700E-06,-8.764400E-02
2,+1.585000E-06,+9.583800E-02,+3.783310E-06,-9.394200E-02
3,+1.996000E-06,+6.879000E-02,+4.260000E-06,-6.218800E-02
4,+2.513000E-06,+1.094540E-01,+4.655000E-06,-1.106860E-01
5,+3.163000E-06,+1.213500E-01,+5.327100E-06,-1.205080E-01
6,+3.983000E-06,+1.324560E-01,+6.095300E-06,-1.311640E-01
7,+5.014000E-06,+1.458320E-01,+7.157100E-06,-1.449080E-01
8,+6.313000E-06,+1.624460E-01,+8.224200E-06,-1.631300E-01
9,+7.948000E-06,+1.843480E-01,+9.882900E-06,-1.857520E-01
10,+1.001000E-05,+2.165020E-01,+1.198060E-05,-2.214860E-01
11,+1.260000E-05,+2.570380E-01,+1.448940E-05,-2.630120E-01
12,+1.586000E-05,+2.989400E-01,+1.755900E-05,-3.018280E-01
13,+1.997000E-05,+3.347480E-01,+2.230170E-05,-3.368680E-01
14,+2.514000E-05,+3.704480E-01,+2.706680E-05,-3.711140E-01
15,+3.166000E-05,+4.003200E-01,+3.347790E-05,-3.991080E-01
16,+3.986000E-05,+4.189180E-01,+4.176750E-05,-4.160200E-01
17,+5.018000E-05,+4.364180E-01,+5.186660E-05,-4.326600E-01
18,+6.318000E-05,+4.506120E-01,+6.476100E-05,-4.462860E-01
19,+7.954000E-05,+4.630880E-01,+8.090640E-05,-4.585440E-01
20,+1.001000E-04,+4.682020E-01,+1.010090E-04,-4.633680E-01
21,+1.261000E-04,+4.884580E-01,+1.271400E-04,-4.826080E-01
22,+1.587000E-04,+5.013540E-01,+1.595360E-04,-4.944260E-01
23,+1.999000E-04,+5.143300E-01,+2.005350E-04,-5.061620E-01
24,+2.516000E-04,+5.274420E-01,+2.522930E-04,-5.176800E-01
25,+3.168000E-04,+5.410280E-01,+3.175460E-04,-5.292240E-01
26,+3.989000E-04,+5.550080E-01,+3.994810E-04,-5.407940E-01
27,+5.022000E-04,+5.696160E-01,+5.030100E-04,-5.523440E-01
28,+6.322000E-04,+5.852180E-01,+6.330000E-04,-5.639300E-01
29,+7.960000E-04,+6.016740E-01,+7.967500E-04,-5.754520E-01
30,+1.002000E-03,+6.198540E-01,+1.002462E-03,-5.869520E-01
31,+1.262000E-03,+6.390660E-01,+1.262390E-03,-5.983640E-01
32,+1.589000E-03,+6.604060E-01,+1.589330E-03,-6.098640E-01
33,+2.000000E-03,+6.842040E-01,+2.000930E-03,-6.212140E-01
