,I2,V2,If,Vf
0,+1.000000E-06,+3.079340E-01,+1.419420E-06,-3.096000E-01
1,+1.259000E-06,+5.730080E-01,+1.528340E-06,-5.719480E-01
2,+1.585000E-06,+3.732760E-01,+1.853030E-06,-3.739540E-01
3,+1.996000E-06,+5.853740E-01,+2.298770E-06,-5.843180E-01
4,+2.513000E-06,+4.173800E-01,+2.851580E-06,-4.181120E-01
5,+3.163000E-06,+5.981260E-01,+3.458940E-06,-5.963580E-01
6,+3.983000E-06,+6.040240E-01,+4.269000E-06,-6.027300E-01
7,+5.014000E-06,+6.100960E-01,+5.299600E-06,-6.088140E-01
8,+6.313000E-06,+6.162980E-01,+6.579000E-06,-6.149800E-01
9,+7.948000E-06,+6.225300E-01,+8.203800E-06,-6.211560E-01
10,+1.001000E-05,+6.291240E-01,+1.034974E-05,-6.273220E-01
11,+1.260000E-05,+6.352860E-01,+1.290270E-05,-6.335020E-01
12,+1.586000E-05,+6.394660E-01,+1.618940E-05,-6.376440E-01
13,+1.997000E-05,+6.479920E-01,+2.032600E-05,-6.459980E-01
14,+2.514000E-05,+6.543860E-01,+2.552360E-05,-6.522760E-01
15,+3.166000E-05,+6.608640E-01,+3.203530E-05,-6.585720E-01
16,+3.986000E-05,+6.674020E-01,+4.022660E-05,-6.648920E-01
17,+5.018000E-05,+6.740960E-01,+5.054510E-05,-6.712880E-01
18,+6.318000E-05,+6.804000E-01,+6.351710E-05,-6.773860E-01
19,+7.954000E-05,+6.878020E-01,+7.989860E-05,-6.843020E-01
20,+1.001000E-04,+6.949320E-01,+1.004262E-04,-6.909960E-01
21,+1.261000E-04,+6.904160E-01,+1.263110E-04,-6.862740E-01
22,+1.587000E-04,+7.100900E-01,+1.590730E-04,-7.046060E-01
23,+1.999000E-04,+7.183220E-01,+2.001600E-04,-7.116180E-01
24,+2.516000E-04,+7.269680E-01,+2.519060E-04,-7.187920E-01
25,+3.168000E-04,+7.361540E-01,+3.171570E-04,-7.260860E-01
26,+3.989000E-04,+7.459080E-01,+3.991780E-04,-7.334660E-01
27,+5.022000E-04,+7.563800E-01,+5.024580E-04,-7.409620E-01
28,+6.322000E-04,+7.677140E-01,+6.327810E-04,-7.485440E-01
29,+7.960000E-04,+7.800720E-01,+7.962800E-04,-7.561940E-01
30,+1.002000E-03,+7.937680E-01,+1.002000E-03,-7.638720E-01
31,+1.262000E-03,+8.089020E-01,+1.261640E-03,-7.715920E-01
32,+1.589000E-03,+8.259480E-01,+1.588700E-03,-7.793500E-01
33,+2.000000E-03,+8.455080E-01,+1.999800E-03,-7.871080E-01
