,I2,V2,If,Vf
0,+1.000000E-06,+2.901080E-01,+1.872300E-06,-2.854200E-01
1,+1.259000E-06,+7.793180E-01,+2.273100E-06,-7.770460E-01
2,+1.585000E-06,+7.828540E-01,+2.560300E-06,-7.806300E-01
3,+1.996000E-06,+7.864040E-01,+2.883600E-06,-7.842120E-01
4,+2.513000E-06,+7.901280E-01,+3.417800E-06,-7.878720E-01
5,+3.163000E-06,+7.938940E-01,+4.050200E-06,-7.916560E-01
6,+3.983000E-06,+7.976920E-01,+4.809900E-06,-7.953860E-01
7,+5.014000E-06,+8.015060E-01,+5.841400E-06,-7.992180E-01
8,+6.313000E-06,+7.968580E-01,+7.173770E-06,-7.943720E-01
9,+7.948000E-06,+8.091460E-01,+8.880610E-06,-8.067240E-01
10,+1.001000E-05,+5.828980E-01,+1.101180E-05,-5.786820E-01
11,+1.260000E-05,+8.110100E-01,+1.355610E-05,-8.081280E-01
12,+1.586000E-05,+8.210600E-01,+1.601100E-05,-8.181540E-01
13,+1.997000E-05,+8.207280E-01,+2.098210E-05,-8.176280E-01
14,+2.514000E-05,+8.291080E-01,+2.614370E-05,-8.221980E-01
15,+3.166000E-05,+8.302720E-01,+3.266850E-05,-8.266880E-01
16,+3.986000E-05,+8.372260E-01,+4.004400E-05,-8.334780E-01
17,+5.018000E-05,+8.394640E-01,+5.130600E-05,-8.354640E-01
18,+6.318000E-05,+8.454900E-01,+6.420070E-05,-8.412000E-01
19,+7.954000E-05,+8.496640E-01,+8.050200E-05,-8.450660E-01
20,+1.001000E-04,+8.529880E-01,+1.002370E-04,-8.483940E-01
21,+1.261000E-04,+8.579000E-01,+1.262280E-04,-8.526200E-01
22,+1.587000E-04,+8.629800E-01,+1.588760E-04,-8.568100E-01
23,+1.999000E-04,+8.682940E-01,+1.999850E-04,-8.609620E-01
24,+2.516000E-04,+8.739260E-01,+2.524200E-04,-8.651880E-01
25,+3.168000E-04,+8.801140E-01,+3.176100E-04,-8.694980E-01
26,+3.989000E-04,+8.867680E-01,+3.997600E-04,-8.738900E-01
27,+5.022000E-04,+8.941640E-01,+5.029000E-04,-8.783980E-01
28,+6.322000E-04,+9.024320E-01,+6.330800E-04,-8.830520E-01
29,+7.960000E-04,+9.117840E-01,+7.968700E-04,-8.879040E-01
30,+1.002000E-03,+9.225960E-01,+1.002420E-03,-8.929060E-01
31,+1.262000E-03,+9.349900E-01,+1.262190E-03,-8.980980E-01
32,+1.589000E-03,+9.493860E-01,+1.589260E-03,-9.034580E-01
33,+2.000000E-03,+9.663120E-01,+2.000860E-03,-9.089920E-01
