,I2,V2,If,Vf
0,+1.000000E-06,+2.999280E+00,+1.908700E-07,-2.998294E+00
1,+1.259000E-06,+2.999720E+00,+1.508200E-07,-2.999234E+00
2,+1.585000E-06,+2.999580E+00,+1.428200E-07,-2.999062E+00
3,+1.996000E-06,+2.999380E+00,+1.164483E-06,-2.998904E+00
4,+2.513000E-06,+2.683100E+00,+2.854330E-06,-2.681096E+00
5,+3.163000E-06,+2.644600E+00,+3.560630E-06,-2.643422E+00
6,+3.983000E-06,+2.657120E+00,+4.350130E-06,-2.656108E+00
7,+5.014000E-06,+2.669700E+00,+5.362260E-06,-2.668172E+00
8,+6.313000E-06,+2.681560E+00,+6.685580E-06,-2.679856E+00
9,+7.948000E-06,+2.702700E+00,+8.283100E-06,-2.700544E+00
10,+1.001000E-05,+2.700560E+00,+1.041486E-05,-2.699106E+00
11,+1.260000E-05,+2.707260E+00,+1.288130E-05,-2.705168E+00
12,+1.586000E-05,+2.685260E+00,+1.617420E-05,-2.683602E+00
13,+1.997000E-05,+2.681700E+00,+2.030240E-05,-2.679914E+00
14,+2.514000E-05,+2.685660E+00,+2.547470E-05,-2.683660E+00
15,+3.166000E-05,+2.690500E+00,+3.202990E-05,-2.688260E+00
16,+3.986000E-05,+2.688780E+00,+4.023100E-05,-2.686356E+00
17,+5.018000E-05,+2.685520E+00,+5.050830E-05,-2.682756E+00
18,+6.318000E-05,+2.691520E+00,+6.347850E-05,-2.688326E+00
19,+7.954000E-05,+2.700280E+00,+7.984010E-05,-2.696660E+00
20,+1.001000E-04,+2.710300E+00,+1.003249E-04,-2.706150E+00
21,+1.261000E-04,+2.722300E+00,+1.261180E-04,-2.717066E+00
22,+1.587000E-04,+2.730840E+00,+1.587740E-04,-2.724558E+00
23,+1.999000E-04,+2.741400E+00,+1.998540E-04,-2.733602E+00
24,+2.516000E-04,+2.753000E+00,+2.516500E-04,-2.743342E+00
25,+3.168000E-04,+2.764900E+00,+3.167710E-04,-2.752998E+00
26,+3.989000E-04,+2.777000E+00,+3.989010E-04,-2.762272E+00
27,+5.022000E-04,+2.789100E+00,+5.021850E-04,-2.770780E+00
28,+6.322000E-04,+2.800540E+00,+6.323810E-04,-2.778140E+00
29,+7.960000E-04,+2.811580E+00,+7.962310E-04,-2.783794E+00
30,+1.002000E-03,+2.816440E+00,+1.002030E-03,-2.785810E+00
31,+1.262000E-03,+2.831440E+00,+1.261600E-03,-2.787804E+00
32,+1.589000E-03,+2.841460E+00,+1.588710E-03,-2.787100E+00
33,+2.000000E-03,+2.853380E+00,+2.000390E-03,-2.785728E+00
