,I2,V2,If,Vf
0,+1.000000E-06,+2.793800E-02,+1.939950E-06,-2.762000E-02
1,+1.259000E-06,+8.630200E-02,+2.134700E-06,-9.526200E-02
2,+1.585000E-06,+1.085460E-01,+2.403530E-06,-1.110560E-01
3,+1.996000E-06,+8.543200E-02,+2.809730E-06,-7.985000E-02
4,+2.513000E-06,+1.275640E-01,+3.195200E-06,-1.289120E-01
5,+3.163000E-06,+1.412520E-01,+3.748410E-06,-1.411340E-01
6,+3.983000E-06,+1.265240E-01,+4.491440E-06,-1.237200E-01
7,+5.014000E-06,+1.693260E-01,+5.432950E-06,-1.717200E-01
8,+6.313000E-06,+1.633880E-01,+6.741700E-06,-1.613960E-01
9,+7.948000E-06,+2.131840E-01,+8.061420E-06,-2.145480E-01
10,+1.001000E-05,+2.387020E-01,+9.715000E-06,-2.374200E-01
11,+1.260000E-05,+2.598360E-01,+1.253810E-05,-2.591060E-01
12,+1.586000E-05,+2.901500E-01,+1.573680E-05,-2.907300E-01
13,+1.997000E-05,+3.249160E-01,+1.986400E-05,-3.266900E-01
14,+2.514000E-05,+3.597680E-01,+2.485940E-05,-3.621120E-01
15,+3.166000E-05,+3.944080E-01,+3.122260E-05,-3.948580E-01
16,+3.986000E-05,+4.194960E-01,+3.918140E-05,-4.184000E-01
17,+5.018000E-05,+4.392380E-01,+4.948800E-05,-4.368340E-01
18,+6.318000E-05,+4.548120E-01,+6.230150E-05,-4.512540E-01
19,+7.954000E-05,+4.683460E-01,+7.788500E-05,-4.639540E-01
20,+1.001000E-04,+4.806660E-01,+9.887560E-05,-4.760540E-01
21,+1.261000E-04,+4.886760E-01,+1.240460E-04,-4.831620E-01
22,+1.587000E-04,+5.061160E-01,+1.566150E-04,-4.992640E-01
23,+1.999000E-04,+5.188520E-01,+1.976170E-04,-5.107740E-01
24,+2.516000E-04,+5.318920E-01,+2.492540E-04,-5.222760E-01
25,+3.168000E-04,+5.453040E-01,+3.143930E-04,-5.335100E-01
26,+3.989000E-04,+5.592160E-01,+3.963250E-04,-5.450140E-01
27,+5.022000E-04,+5.737360E-01,+4.993800E-04,-5.563860E-01
28,+6.322000E-04,+5.890480E-01,+6.304800E-04,-5.677760E-01
29,+7.960000E-04,+6.054620E-01,+7.938400E-04,-5.792520E-01
30,+1.002000E-03,+6.242120E-01,+9.988790E-04,-5.912580E-01
31,+1.262000E-03,+6.427200E-01,+1.259130E-03,-6.019800E-01
32,+1.589000E-03,+6.638820E-01,+1.586110E-03,-6.132920E-01
33,+2.000000E-03,+6.876320E-01,+1.997400E-03,-6.246460E-01
