,I2,V2,If,Vf
0,+1.000000E-06,+5.060000E-03,+2.353300E-06,-3.374000E-03
1,+1.259000E-06,+5.412400E-02,+2.760890E-06,-5.291000E-02
2,+1.585000E-06,+5.966200E-02,+3.079960E-06,-3.471200E-02
3,+1.996000E-06,+6.599000E-02,+3.271000E-06,-6.657000E-02
4,+2.513000E-06,+7.435800E-02,+3.659100E-06,-7.571000E-02
5,+3.163000E-06,+8.642000E-02,+4.259200E-06,-8.739400E-02
6,+3.983000E-06,+1.009080E-01,+4.862900E-06,-1.046700E-01
7,+5.014000E-06,+1.203680E-01,+5.686900E-06,-1.238700E-01
8,+6.313000E-06,+1.403700E-01,+6.834500E-06,-1.392200E-01
9,+7.948000E-06,+1.549940E-01,+8.301400E-06,-1.516300E-01
10,+1.001000E-05,+1.694000E-01,+1.008877E-05,-1.639060E-01
11,+1.260000E-05,+1.650080E-01,+1.281730E-05,-1.615480E-01
12,+1.586000E-05,+2.076540E-01,+1.606060E-05,-2.025380E-01
13,+1.997000E-05,+2.351880E-01,+1.941400E-05,-2.357740E-01
14,+2.514000E-05,+2.773500E-01,+2.499930E-05,-2.828660E-01
15,+3.166000E-05,+3.350680E-01,+3.126280E-05,-3.406800E-01
16,+3.986000E-05,+3.841580E-01,+3.892840E-05,-3.847940E-01
17,+5.018000E-05,+4.154560E-01,+4.894520E-05,-4.135520E-01
18,+6.318000E-05,+4.378900E-01,+6.177730E-05,-4.345560E-01
19,+7.954000E-05,+4.558960E-01,+7.772430E-05,-4.519720E-01
20,+1.001000E-04,+4.721540E-01,+9.731100E-05,-4.672720E-01
21,+1.261000E-04,+4.864620E-01,+1.232800E-04,-4.810500E-01
22,+1.587000E-04,+5.007180E-01,+1.558230E-04,-4.940540E-01
23,+1.999000E-04,+5.145320E-01,+1.967330E-04,-5.065560E-01
24,+2.516000E-04,+5.283600E-01,+2.485010E-04,-5.187920E-01
25,+3.168000E-04,+5.424120E-01,+3.134860E-04,-5.307700E-01
26,+3.989000E-04,+5.569040E-01,+3.954740E-04,-5.427880E-01
27,+5.022000E-04,+5.719080E-01,+4.985580E-04,-5.546900E-01
28,+6.322000E-04,+5.877080E-01,+6.284500E-04,-5.664840E-01
29,+7.960000E-04,+6.043400E-01,+7.929500E-04,-5.781700E-01
30,+1.002000E-03,+6.226480E-01,+9.979630E-04,-5.898180E-01
31,+1.262000E-03,+6.420260E-01,+1.258250E-03,-6.013780E-01
32,+1.589000E-03,+6.633500E-01,+1.585180E-03,-6.128700E-01
33,+2.000000E-03,+6.872420E-01,+1.996400E-03,-6.243600E-01
