,I2,V2,If,Vf
0,+1.000000E-06,+3.647800E-02,+1.588600E-06,-3.836000E-02
1,+1.259000E-06,+6.107600E-02,+1.903200E-06,-6.251600E-02
2,+1.585000E-06,+7.048200E-02,+2.247200E-06,-7.047200E-02
3,+1.996000E-06,+7.902000E-02,+2.633000E-06,-7.888000E-02
4,+2.513000E-06,+8.830200E-02,+3.141400E-06,-8.846000E-02
5,+3.163000E-06,+1.000740E-01,+3.776100E-06,-1.006020E-01
6,+3.983000E-06,+1.134320E-01,+4.589300E-06,-1.141120E-01
7,+5.014000E-06,+1.289640E-01,+5.561740E-06,-1.299420E-01
8,+6.313000E-06,+1.472840E-01,+6.842500E-06,-1.483260E-01
9,+7.948000E-06,+1.688220E-01,+8.464000E-06,-1.706520E-01
10,+1.001000E-05,+1.962740E-01,+1.055210E-05,-1.995520E-01
11,+1.260000E-05,+2.303900E-01,+1.309910E-05,-2.357460E-01
12,+1.586000E-05,+2.743360E-01,+1.628630E-05,-2.829860E-01
13,+1.997000E-05,+3.269860E-01,+2.036180E-05,-3.362480E-01
14,+2.514000E-05,+3.719940E-01,+2.551350E-05,-3.760560E-01
15,+3.166000E-05,+4.005020E-01,+3.205220E-05,-4.010940E-01
16,+3.986000E-05,+4.192960E-01,+4.018980E-05,-4.181660E-01
17,+5.018000E-05,+4.356860E-01,+5.009800E-05,-4.335180E-01
18,+6.318000E-05,+4.488700E-01,+6.339720E-05,-4.461420E-01
19,+7.954000E-05,+4.619980E-01,+7.957760E-05,-4.585320E-01
20,+1.001000E-04,+4.742860E-01,+1.000097E-04,-4.701960E-01
21,+1.261000E-04,+4.831500E-01,+1.257140E-04,-4.787100E-01
22,+1.587000E-04,+4.988680E-01,+1.582910E-04,-4.931140E-01
23,+1.999000E-04,+5.115260E-01,+1.994490E-04,-5.044920E-01
24,+2.516000E-04,+5.245500E-01,+2.511620E-04,-5.158800E-01
25,+3.168000E-04,+5.379960E-01,+3.162700E-04,-5.273260E-01
26,+3.989000E-04,+5.519600E-01,+3.983460E-04,-5.388220E-01
27,+5.022000E-04,+5.665800E-01,+5.016260E-04,-5.503440E-01
28,+6.322000E-04,+5.820800E-01,+6.319310E-04,-5.618760E-01
29,+7.960000E-04,+5.985360E-01,+7.956150E-04,-5.733760E-01
30,+1.002000E-03,+6.163980E-01,+1.001480E-03,-5.848620E-01
31,+1.262000E-03,+6.356400E-01,+1.261040E-03,-5.963460E-01
32,+1.589000E-03,+6.569060E-01,+1.588060E-03,-6.078000E-01
33,+2.000000E-03,+6.807360E-01,+1.999640E-03,-6.191960E-01
