,I2,V2,If,Vf
0,+1.000000E-06,+2.349340E-01,+2.429600E-06,-2.365100E-01
1,+1.259000E-06,+7.253900E-01,+2.616930E-06,-7.230740E-01
2,+1.585000E-06,+7.155660E-01,+2.940160E-06,-7.130060E-01
3,+1.996000E-06,+7.333240E-01,+3.303380E-06,-7.310000E-01
4,+2.513000E-06,+7.256860E-01,+3.904810E-06,-7.230940E-01
5,+3.163000E-06,+4.112340E-01,+4.506780E-06,-4.122340E-01
6,+3.983000E-06,+7.355920E-01,+5.341000E-06,-7.333860E-01
7,+5.014000E-06,+7.502320E-01,+6.405100E-06,-7.478660E-01
8,+6.313000E-06,+7.546100E-01,+7.724500E-06,-7.521120E-01
9,+7.948000E-06,+7.590560E-01,+9.508840E-06,-7.565520E-01
10,+1.001000E-05,+7.572360E-01,+1.145950E-05,-7.541800E-01
11,+1.260000E-05,+7.681120E-01,+1.405220E-05,-7.652680E-01
12,+1.586000E-05,+7.727480E-01,+1.730880E-05,-7.697900E-01
13,+1.997000E-05,+7.774540E-01,+2.149060E-05,-7.742880E-01
14,+2.514000E-05,+7.821920E-01,+2.557600E-05,-7.788380E-01
15,+3.166000E-05,+7.843600E-01,+3.207700E-05,-7.806920E-01
16,+3.986000E-05,+7.896340E-01,+4.030100E-05,-7.857900E-01
17,+5.018000E-05,+7.948240E-01,+5.052300E-05,-7.907480E-01
18,+6.318000E-05,+8.000020E-01,+6.460950E-05,-7.957000E-01
19,+7.954000E-05,+8.060900E-01,+8.100540E-05,-8.013780E-01
20,+1.001000E-04,+7.696000E-01,+1.001920E-04,-7.661020E-01
21,+1.261000E-04,+8.159320E-01,+1.262740E-04,-8.102840E-01
22,+1.587000E-04,+8.217160E-01,+1.589640E-04,-8.151740E-01
23,+1.999000E-04,+8.276440E-01,+2.000010E-04,-8.200680E-01
24,+2.516000E-04,+8.341520E-01,+2.517680E-04,-8.250360E-01
25,+3.168000E-04,+8.410280E-01,+3.170750E-04,-8.300540E-01
26,+3.989000E-04,+8.483980E-01,+3.992640E-04,-8.351780E-01
27,+5.022000E-04,+8.565220E-01,+5.034100E-04,-8.403960E-01
28,+6.322000E-04,+8.655000E-01,+6.336500E-04,-8.456980E-01
29,+7.960000E-04,+8.686500E-01,+7.964980E-04,-8.450040E-01
30,+1.002000E-03,+8.826280E-01,+1.002850E-03,-8.529780E-01
31,+1.262000E-03,+9.000180E-01,+1.262680E-03,-8.624900E-01
32,+1.589000E-03,+9.149800E-01,+1.589660E-03,-8.683120E-01
33,+2.000000E-03,+9.325020E-01,+2.001240E-03,-8.742660E-01
