,I2,V2,If,Vf
0,+1.000000E-06,+1.118400E-02,+2.429000E-06,-1.004400E-02
1,+1.259000E-06,+6.124200E-02,+2.798900E-06,-6.587200E-02
2,+1.585000E-06,+7.549400E-02,+3.126000E-06,-7.542600E-02
3,+1.996000E-06,+8.436000E-02,+3.481900E-06,-8.339400E-02
4,+2.513000E-06,+9.239800E-02,+3.924100E-06,-9.248400E-02
5,+3.163000E-06,+1.030260E-01,+4.554900E-06,-1.028740E-01
6,+3.983000E-06,+9.433000E-02,+5.398270E-06,-9.076800E-02
7,+5.014000E-06,+1.277800E-01,+6.352500E-06,-1.274340E-01
8,+6.313000E-06,+1.431600E-01,+7.658730E-06,-1.419280E-01
9,+7.948000E-06,+1.608480E-01,+9.305800E-06,-1.600660E-01
10,+1.001000E-05,+1.831680E-01,+1.138830E-05,-1.835380E-01
11,+1.260000E-05,+2.106480E-01,+1.394230E-05,-2.117920E-01
12,+1.586000E-05,+2.469740E-01,+1.700110E-05,-2.499100E-01
13,+1.997000E-05,+2.936400E-01,+2.099600E-05,-3.001200E-01
14,+2.514000E-05,+3.460620E-01,+2.617180E-05,-3.523740E-01
15,+3.166000E-05,+3.861740E-01,+3.265430E-05,-3.871440E-01
16,+3.986000E-05,+4.113340E-01,+4.082830E-05,-4.096800E-01
17,+5.018000E-05,+4.287020E-01,+5.097250E-05,-4.261180E-01
18,+6.318000E-05,+4.443700E-01,+6.375880E-05,-4.411180E-01
19,+7.954000E-05,+4.588300E-01,+8.009140E-05,-4.549820E-01
20,+1.001000E-04,+4.724660E-01,+1.004885E-04,-4.677560E-01
21,+1.261000E-04,+4.813580E-01,+1.257570E-04,-4.758580E-01
22,+1.587000E-04,+4.981060E-01,+1.583500E-04,-4.917180E-01
23,+1.999000E-04,+5.112120E-01,+1.994160E-04,-5.034900E-01
24,+2.516000E-04,+5.245540E-01,+2.510520E-04,-5.152020E-01
25,+3.168000E-04,+5.382860E-01,+3.160660E-04,-5.268920E-01
26,+3.989000E-04,+5.524700E-01,+3.982300E-04,-5.385700E-01
27,+5.022000E-04,+5.672200E-01,+5.014230E-04,-5.502180E-01
28,+6.322000E-04,+5.827980E-01,+6.314580E-04,-5.618500E-01
29,+7.960000E-04,+5.991960E-01,+7.951030E-04,-5.735040E-01
30,+1.002000E-03,+6.182860E-01,+1.001239E-03,-5.855300E-01
31,+1.262000E-03,+6.376280E-01,+1.261510E-03,-5.970500E-01
32,+1.589000E-03,+6.580640E-01,+1.588340E-03,-6.080660E-01
33,+2.000000E-03,+6.819480E-01,+1.999990E-03,-6.194860E-01
