,I2,V2,If,Vf
0,+1.000000E-06,+6.067000E-02,+1.561960E-06,-5.851600E-02
1,+1.259000E-06,+3.106200E-01,+1.895640E-06,-3.087380E-01
2,+1.585000E-06,+3.190560E-01,+2.235220E-06,-3.173240E-01
3,+1.996000E-06,+3.278420E-01,+2.648900E-06,-3.257000E-01
4,+2.513000E-06,+3.360360E-01,+3.177610E-06,-3.341900E-01
5,+3.163000E-06,+3.444700E-01,+3.900500E-06,-3.426080E-01
6,+3.983000E-06,+3.529500E-01,+4.654800E-06,-3.509860E-01
7,+5.014000E-06,+3.615960E-01,+5.745100E-06,-3.591880E-01
8,+6.313000E-06,+3.699480E-01,+6.997400E-06,-3.676920E-01
9,+7.948000E-06,+3.750860E-01,+8.585600E-06,-3.728080E-01
10,+1.001000E-05,+3.875860E-01,+1.080215E-05,-3.850200E-01
11,+1.260000E-05,+3.519020E-01,+1.324470E-05,-3.505880E-01
12,+1.586000E-05,+4.049960E-01,+1.655770E-05,-4.022800E-01
13,+1.997000E-05,+4.140480E-01,+2.072890E-05,-4.112260E-01
14,+2.514000E-05,+4.232340E-01,+2.596240E-05,-4.201440E-01
15,+3.166000E-05,+4.324640E-01,+3.243970E-05,-4.292520E-01
16,+3.986000E-05,+4.411580E-01,+4.065620E-05,-4.377360E-01
17,+5.018000E-05,+4.509440E-01,+5.083790E-05,-4.472540E-01
18,+6.318000E-05,+4.612740E-01,+6.384320E-05,-4.572200E-01
19,+7.954000E-05,+4.709700E-01,+8.003740E-05,-4.666600E-01
20,+1.001000E-04,+4.817480E-01,+1.005489E-04,-4.767740E-01
21,+1.261000E-04,+4.861900E-01,+1.259280E-04,-4.815940E-01
22,+1.587000E-04,+5.037520E-01,+1.586850E-04,-4.972440E-01
23,+1.999000E-04,+5.155560E-01,+1.996840E-04,-5.078300E-01
24,+2.516000E-04,+5.279500E-01,+2.515030E-04,-5.186000E-01
25,+3.168000E-04,+5.408600E-01,+3.167590E-04,-5.295460E-01
26,+3.989000E-04,+5.544120E-01,+3.988760E-04,-5.406320E-01
27,+5.022000E-04,+5.687060E-01,+5.023880E-04,-5.518260E-01
28,+6.322000E-04,+5.839180E-01,+6.327690E-04,-5.630460E-01
29,+7.960000E-04,+6.001360E-01,+7.965600E-04,-5.743620E-01
30,+1.002000E-03,+6.178280E-01,+1.002540E-03,-5.857000E-01
31,+1.262000E-03,+6.369620E-01,+1.262200E-03,-5.970540E-01
32,+1.589000E-03,+6.581920E-01,+1.589370E-03,-6.083700E-01
33,+2.000000E-03,+6.819080E-01,+2.001040E-03,-6.196460E-01
