,I2,V2,If,Vf
0,+1.000000E-06,+2.737520E-01,+1.549300E-06,-2.767500E-01
1,+1.259000E-06,+6.646400E-01,+1.774200E-06,-6.628280E-01
2,+1.585000E-06,+6.696220E-01,+2.109560E-06,-6.677780E-01
3,+1.996000E-06,+6.745320E-01,+2.522210E-06,-6.727760E-01
4,+2.513000E-06,+6.796560E-01,+3.056330E-06,-6.778840E-01
5,+3.163000E-06,+6.848000E-01,+3.677880E-06,-6.828780E-01
6,+3.983000E-06,+6.900060E-01,+4.563300E-06,-6.813560E-01
7,+5.014000E-06,+6.952360E-01,+5.565200E-06,-6.932420E-01
8,+6.313000E-06,+7.004360E-01,+6.860600E-06,-6.983960E-01
9,+7.948000E-06,+7.009340E-01,+8.456710E-06,-6.987460E-01
10,+1.001000E-05,+7.112740E-01,+1.058870E-05,-7.087620E-01
11,+1.260000E-05,+7.164700E-01,+1.320000E-05,-7.140280E-01
12,+1.586000E-05,+7.217920E-01,+1.591700E-05,-7.192800E-01
13,+1.997000E-05,+7.245920E-01,+2.064540E-05,-7.218380E-01
14,+2.514000E-05,+7.326760E-01,+2.585120E-05,-7.297720E-01
15,+3.166000E-05,+7.381520E-01,+3.246130E-05,-7.350100E-01
16,+3.986000E-05,+7.436980E-01,+4.066680E-05,-7.403020E-01
17,+5.018000E-05,+7.492080E-01,+5.104230E-05,-7.455960E-01
18,+6.318000E-05,+7.540660E-01,+6.395010E-05,-7.501940E-01
19,+7.954000E-05,+7.605880E-01,+8.037170E-05,-7.562860E-01
20,+1.001000E-04,+7.378300E-01,+1.000650E-04,-7.343480E-01
21,+1.261000E-04,+7.720060E-01,+1.260920E-04,-7.669520E-01
22,+1.587000E-04,+7.786360E-01,+1.586730E-04,-7.726240E-01
23,+1.999000E-04,+7.855520E-01,+1.998050E-04,-7.783640E-01
24,+2.516000E-04,+7.928600E-01,+2.515280E-04,-7.841900E-01
25,+3.168000E-04,+8.005600E-01,+3.167840E-04,-7.901120E-01
26,+3.989000E-04,+8.088280E-01,+3.987650E-04,-7.961040E-01
27,+5.022000E-04,+8.179600E-01,+5.022130E-04,-8.021740E-01
28,+6.322000E-04,+8.277920E-01,+6.325040E-04,-8.083260E-01
29,+7.960000E-04,+8.386640E-01,+7.965700E-04,-8.146120E-01
30,+1.002000E-03,+8.509320E-01,+1.002180E-03,-8.209320E-01
31,+1.262000E-03,+8.646440E-01,+1.261830E-03,-8.273460E-01
32,+1.589000E-03,+8.799120E-01,+1.588200E-03,-8.341600E-01
33,+2.000000E-03,+8.981640E-01,+2.000560E-03,-8.407840E-01
