,I2,V2,If,Vf
0,+1.000000E-06,+2.818600E-02,+2.327600E-06,-2.904800E-02
1,+1.259000E-06,+5.296200E-02,+2.719650E-06,-4.832800E-02
2,+1.585000E-06,+1.018540E-01,+3.015600E-06,-1.040100E-01
3,+1.996000E-06,+8.723000E-02,+3.350500E-06,-8.328000E-02
4,+2.513000E-06,+1.299100E-01,+3.701700E-06,-1.349480E-01
5,+3.163000E-06,+1.490300E-01,+4.098480E-06,-1.505660E-01
6,+3.983000E-06,+1.369320E-01,+4.970510E-06,-1.328960E-01
7,+5.014000E-06,+1.517680E-01,+5.927500E-06,-1.492540E-01
8,+6.313000E-06,+1.933400E-01,+7.082900E-06,-1.935060E-01
9,+7.948000E-06,+2.112560E-01,+7.870000E-06,-2.116520E-01
10,+1.001000E-05,+2.328320E-01,+1.032726E-05,-2.323900E-01
11,+1.260000E-05,+2.334200E-01,+1.312340E-05,-2.324400E-01
12,+1.586000E-05,+2.926960E-01,+1.630950E-05,-2.999020E-01
13,+1.997000E-05,+3.379580E-01,+2.010700E-05,-3.444240E-01
14,+2.514000E-05,+3.803640E-01,+2.525970E-05,-3.822200E-01
15,+3.166000E-05,+4.075120E-01,+3.175730E-05,-4.069480E-01
16,+3.986000E-05,+4.273260E-01,+3.979000E-05,-4.250260E-01
17,+5.018000E-05,+4.431080E-01,+5.006690E-05,-4.398760E-01
18,+6.318000E-05,+4.563740E-01,+6.292620E-05,-4.524500E-01
19,+7.954000E-05,+4.684340E-01,+7.914660E-05,-4.642880E-01
20,+1.001000E-04,+4.811920E-01,+9.928020E-05,-4.759680E-01
21,+1.261000E-04,+4.887660E-01,+1.245630E-04,-4.832740E-01
22,+1.587000E-04,+5.051500E-01,+1.571330E-04,-4.985740E-01
23,+1.999000E-04,+5.176720E-01,+1.980870E-04,-5.097860E-01
24,+2.516000E-04,+5.304960E-01,+2.498350E-04,-5.210300E-01
25,+3.168000E-04,+5.438040E-01,+3.149310E-04,-5.323560E-01
26,+3.989000E-04,+5.576040E-01,+3.968510E-04,-5.435900E-01
27,+5.022000E-04,+5.720000E-01,+5.000360E-04,-5.548280E-01
28,+6.322000E-04,+5.874040E-01,+6.299950E-04,-5.662260E-01
29,+7.960000E-04,+6.036460E-01,+7.945000E-04,-5.776440E-01
30,+1.002000E-03,+6.217200E-01,+9.996220E-04,-5.890020E-01
31,+1.262000E-03,+6.414420E-01,+1.259930E-03,-6.009640E-01
32,+1.589000E-03,+6.621080E-01,+1.586480E-03,-6.116960E-01
33,+2.000000E-03,+6.858260E-01,+1.997930E-03,-6.230740E-01
