,I2,V2,If,Vf
0,+1.000000E-06,+2.414880E-01,+2.648020E-06,-2.385760E-01
1,+1.259000E-06,+2.936800E-01,+2.810000E-06,-2.835180E-01
2,+1.585000E-06,+7.848680E-01,+3.108300E-06,-7.828040E-01
3,+1.996000E-06,+7.883780E-01,+3.468800E-06,-7.861520E-01
4,+2.513000E-06,+7.917100E-01,+3.969100E-06,-7.895220E-01
5,+3.163000E-06,+7.952860E-01,+4.716800E-06,-7.929760E-01
6,+3.983000E-06,+7.988580E-01,+5.517100E-06,-7.965900E-01
7,+5.014000E-06,+8.025020E-01,+6.661200E-06,-8.001860E-01
8,+6.313000E-06,+8.062440E-01,+7.942000E-06,-8.039180E-01
9,+7.948000E-06,+8.098960E-01,+9.728580E-06,-8.076280E-01
10,+1.001000E-05,+8.059120E-01,+1.156370E-05,-8.032940E-01
11,+1.260000E-05,+8.174380E-01,+1.427490E-05,-8.149400E-01
12,+1.586000E-05,+8.214640E-01,+1.632400E-05,-8.187940E-01
13,+1.997000E-05,+8.207100E-01,+2.161280E-05,-6.441140E-01
14,+2.514000E-05,+8.256720E-01,+2.682230E-05,-8.224720E-01
15,+3.166000E-05,+8.335480E-01,+3.211300E-05,-8.302220E-01
16,+3.986000E-05,+8.350320E-01,+4.031900E-05,-8.313580E-01
17,+5.018000E-05,+8.396080E-01,+5.067400E-05,-8.357480E-01
18,+6.318000E-05,+8.442480E-01,+6.487070E-05,-8.400120E-01
19,+7.954000E-05,+8.499260E-01,+8.110990E-05,-8.454260E-01
20,+1.001000E-04,+8.030000E-01,+1.003910E-04,-7.996360E-01
21,+1.261000E-04,+8.584720E-01,+1.264770E-04,-8.529040E-01
22,+1.587000E-04,+8.635620E-01,+1.589770E-04,-8.570840E-01
23,+1.999000E-04,+8.688680E-01,+2.002820E-04,-8.612900E-01
24,+2.516000E-04,+8.743620E-01,+2.518890E-04,-8.654780E-01
25,+3.168000E-04,+8.805820E-01,+3.172170E-04,-8.697820E-01
26,+3.989000E-04,+8.872400E-01,+3.999200E-04,-8.741480E-01
27,+5.022000E-04,+8.945840E-01,+5.032600E-04,-8.786620E-01
28,+6.322000E-04,+9.028280E-01,+6.333600E-04,-8.833400E-01
29,+7.960000E-04,+9.121280E-01,+7.972300E-04,-8.881480E-01
30,+1.002000E-03,+9.229620E-01,+1.002880E-03,-8.931580E-01
31,+1.262000E-03,+9.352980E-01,+1.262570E-03,-8.983280E-01
32,+1.589000E-03,+9.497020E-01,+1.589780E-03,-9.037200E-01
33,+2.000000E-03,+9.666620E-01,+2.001380E-03,-9.092700E-01
