,I2,V2,If,Vf
0,+1.000000E-06,+2.516640E-01,+2.533500E-06,-2.522820E-01
1,+1.259000E-06,+8.140660E-01,+2.736270E-06,-8.099260E-01
2,+1.585000E-06,+3.533600E-01,+3.070700E-06,-3.479620E-01
3,+1.996000E-06,+8.413340E-01,+3.386600E-06,-8.391760E-01
4,+2.513000E-06,+8.444300E-01,+4.010300E-06,-8.420380E-01
5,+3.163000E-06,+8.472860E-01,+4.619600E-06,-8.450340E-01
6,+3.983000E-06,+8.504300E-01,+5.404200E-06,-8.480140E-01
7,+5.014000E-06,+8.534740E-01,+6.462100E-06,-8.510560E-01
8,+6.313000E-06,+8.566260E-01,+7.743100E-06,-8.541420E-01
9,+7.948000E-06,+8.597580E-01,+9.362300E-06,-8.572520E-01
10,+1.001000E-05,+8.542080E-01,+1.038800E-05,-8.512220E-01
11,+1.260000E-05,+8.587200E-01,+1.416320E-05,-8.554120E-01
12,+1.586000E-05,+8.696140E-01,+1.749610E-05,-8.666540E-01
13,+1.997000E-05,+8.675460E-01,+2.038500E-05,-8.644080E-01
14,+2.514000E-05,+8.720840E-01,+2.688330E-05,-8.685960E-01
15,+3.166000E-05,+8.799960E-01,+3.337270E-05,-8.763920E-01
16,+3.986000E-05,+8.833860E-01,+4.034600E-05,-8.795820E-01
17,+5.018000E-05,+8.844840E-01,+5.188710E-05,-8.805400E-01
18,+6.318000E-05,+8.885700E-01,+6.482260E-05,-8.842980E-01
19,+7.954000E-05,+8.926060E-01,+8.114630E-05,-8.880480E-01
20,+1.001000E-04,+8.969500E-01,+1.005560E-04,-8.920780E-01
21,+1.261000E-04,+9.013520E-01,+1.264170E-04,-8.958040E-01
22,+1.587000E-04,+9.058780E-01,+1.590680E-04,-8.993900E-01
23,+1.999000E-04,+9.106040E-01,+2.000630E-04,-9.030180E-01
24,+2.516000E-04,+9.156680E-01,+2.519680E-04,-9.066520E-01
25,+3.168000E-04,+9.211580E-01,+3.172570E-04,-9.103660E-01
26,+3.989000E-04,+9.272000E-01,+3.999900E-04,-9.141760E-01
27,+5.022000E-04,+9.339300E-01,+5.032300E-04,-9.180400E-01
28,+6.322000E-04,+9.415260E-01,+6.335800E-04,-9.221180E-01
29,+7.960000E-04,+9.501800E-01,+7.973000E-04,-9.263280E-01
30,+1.002000E-03,+9.467960E-01,+1.002980E-03,-9.179100E-01
31,+1.262000E-03,+9.722100E-01,+1.262630E-03,-9.354040E-01
32,+1.589000E-03,+9.860100E-01,+1.589780E-03,-9.402740E-01
33,+2.000000E-03,+1.002438E+00,+2.001460E-03,-9.453620E-01
