,I2,V2,If,Vf
0,+1.000000E-06,+3.176440E-01,+1.734600E-06,-3.152860E-01
1,+1.259000E-06,+8.137040E-01,+2.076670E-06,-8.123160E-01
2,+1.585000E-06,+8.363600E-01,+2.386580E-06,-8.344000E-01
3,+1.996000E-06,+8.424600E-01,+2.764100E-06,-8.406740E-01
4,+2.513000E-06,+8.426940E-01,+3.318830E-06,-8.405480E-01
5,+3.163000E-06,+8.459460E-01,+3.989640E-06,-8.436920E-01
6,+3.983000E-06,+8.373000E-01,+4.768200E-06,-8.349380E-01
7,+5.014000E-06,+8.523600E-01,+5.741000E-06,-8.501660E-01
8,+6.313000E-06,+8.556340E-01,+6.999900E-06,-8.533180E-01
9,+7.948000E-06,+8.589260E-01,+8.593200E-06,-8.565180E-01
10,+1.001000E-05,+8.622740E-01,+1.075060E-05,-8.595760E-01
11,+1.260000E-05,+8.655940E-01,+1.250800E-05,-8.628180E-01
12,+1.586000E-05,+8.635060E-01,+1.668260E-05,-8.605380E-01
13,+1.997000E-05,+8.725320E-01,+2.083140E-05,-8.693940E-01
14,+2.514000E-05,+8.760180E-01,+2.604310E-05,-8.687120E-01
15,+3.166000E-05,+8.762160E-01,+3.256780E-05,-8.726400E-01
16,+3.986000E-05,+8.802760E-01,+4.075530E-05,-8.765420E-01
17,+5.018000E-05,+8.843460E-01,+5.108350E-05,-8.803600E-01
18,+6.318000E-05,+8.901460E-01,+6.329800E-05,-8.857700E-01
19,+7.954000E-05,+8.923800E-01,+8.035660E-05,-8.877740E-01
20,+1.001000E-04,+8.964340E-01,+9.997600E-05,-8.918340E-01
21,+1.261000E-04,+9.008500E-01,+1.262020E-04,-8.955640E-01
22,+1.587000E-04,+9.053440E-01,+1.588350E-04,-8.991160E-01
23,+1.999000E-04,+9.101300E-01,+1.998350E-04,-9.027440E-01
24,+2.516000E-04,+9.151980E-01,+2.516760E-04,-9.063920E-01
25,+3.168000E-04,+9.206900E-01,+3.169000E-04,-9.100980E-01
26,+3.989000E-04,+9.267200E-01,+3.990140E-04,-9.139040E-01
27,+5.022000E-04,+9.334860E-01,+5.028700E-04,-9.177980E-01
28,+6.322000E-04,+9.411220E-01,+6.330700E-04,-9.218660E-01
29,+7.960000E-04,+9.498160E-01,+7.968300E-04,-9.260900E-01
30,+1.002000E-03,+9.601680E-01,+1.002520E-03,-9.304900E-01
31,+1.262000E-03,+9.718560E-01,+1.262130E-03,-9.351380E-01
32,+1.589000E-03,+9.857360E-01,+1.589170E-03,-9.399960E-01
33,+2.000000E-03,+1.002136E+00,+2.000870E-03,-9.451100E-01
