,I2,V2,If,Vf
0,+1.000000E-06,+4.747720E-01,+1.948330E-06,-4.651000E-01
1,+1.259000E-06,+9.912200E-01,+2.119300E-06,-9.888800E-01
2,+1.585000E-06,+9.792360E-01,+2.497800E-06,-9.763520E-01
3,+1.996000E-06,+9.948520E-01,+2.922000E-06,-9.924140E-01
4,+2.513000E-06,+9.967580E-01,+3.423700E-06,-9.943140E-01
5,+3.163000E-06,+9.987400E-01,+4.092400E-06,-9.962140E-01
6,+3.983000E-06,+1.000700E+00,+4.813500E-06,-9.981580E-01
7,+5.014000E-06,+9.955100E-01,+5.938000E-06,-9.927380E-01
8,+6.313000E-06,+1.004846E+00,+7.208600E-06,-1.002170E+00
9,+7.948000E-06,+1.007010E+00,+7.876000E-06,-1.004234E+00
10,+1.001000E-05,+1.004740E+00,+1.096010E-05,-1.001558E+00
11,+1.260000E-05,+1.011574E+00,+1.358320E-05,-1.008540E+00
12,+1.586000E-05,+1.013986E+00,+1.589100E-05,-1.010840E+00
13,+1.997000E-05,+1.014230E+00,+2.098880E-05,-1.010758E+00
14,+2.514000E-05,+1.017320E+00,+2.629380E-05,-1.013696E+00
15,+3.166000E-05,+1.021738E+00,+3.282760E-05,-1.017888E+00
16,+3.986000E-05,+1.023296E+00,+4.000300E-05,-1.019266E+00
17,+5.018000E-05,+1.026236E+00,+5.128390E-05,-1.021972E+00
18,+6.318000E-05,+1.029688E+00,+6.422520E-05,-1.025140E+00
19,+7.954000E-05,+1.032372E+00,+8.061850E-05,-1.027582E+00
20,+1.001000E-04,+9.779120E-01,+9.992200E-05,-9.752700E-01
21,+1.261000E-04,+1.037672E+00,+1.259530E-04,-1.032148E+00
22,+1.587000E-04,+1.041008E+00,+1.586000E-04,-1.034606E+00
23,+1.999000E-04,+1.044492E+00,+1.996750E-04,-1.036968E+00
24,+2.516000E-04,+1.048182E+00,+2.513360E-04,-1.039286E+00
25,+3.168000E-04,+1.052062E+00,+3.170180E-04,-1.041594E+00
26,+3.989000E-04,+1.056660E+00,+3.995800E-04,-1.043870E+00
27,+5.022000E-04,+1.061710E+00,+5.029200E-04,-1.046164E+00
28,+6.322000E-04,+1.067466E+00,+6.331000E-04,-1.048478E+00
29,+7.960000E-04,+1.074200E+00,+7.968500E-04,-1.050872E+00
30,+1.002000E-03,+1.069332E+00,+1.002670E-03,-1.041398E+00
31,+1.262000E-03,+1.091820E+00,+1.262470E-03,-1.055868E+00
32,+1.589000E-03,+1.103270E+00,+1.589500E-03,-1.058604E+00
33,+2.000000E-03,+1.117280E+00,+2.001070E-03,-1.061538E+00
