,I2,V2,If,Vf
0,+1.000000E-06,+7.790240E-01,+1.679810E-06,-7.783780E-01
1,+1.259000E-06,+7.878960E-01,+1.686470E-06,-7.987740E-01
2,+1.585000E-06,+1.071418E+00,+2.032900E-06,-1.070100E+00
3,+1.996000E-06,+1.072402E+00,+2.436850E-06,-1.071048E+00
4,+2.513000E-06,+1.073682E+00,+2.986770E-06,-1.072468E+00
5,+3.163000E-06,+1.075368E+00,+3.668600E-06,-1.074080E+00
6,+3.983000E-06,+1.076330E+00,+4.460780E-06,-1.074986E+00
7,+5.014000E-06,+9.012020E-01,+5.485770E-06,-9.011240E-01
8,+6.313000E-06,+9.143160E-01,+6.748170E-06,-9.143160E-01
9,+7.948000E-06,+1.080726E+00,+8.395180E-06,-1.079162E+00
10,+1.001000E-05,+9.422920E-01,+1.052760E-05,-9.424160E-01
11,+1.260000E-05,+1.083996E+00,+1.307320E-05,-1.082130E+00
12,+1.586000E-05,+1.085650E+00,+1.637070E-05,-1.083746E+00
13,+1.997000E-05,+1.087446E+00,+2.047290E-05,-1.085342E+00
14,+2.514000E-05,+1.089304E+00,+2.566140E-05,-1.086970E+00
15,+3.166000E-05,+1.091108E+00,+3.214070E-05,-1.088624E+00
16,+3.986000E-05,+1.092916E+00,+4.039840E-05,-1.090236E+00
17,+5.018000E-05,+1.094698E+00,+5.071120E-05,-1.091804E+00
18,+6.318000E-05,+1.096492E+00,+6.363540E-05,-1.093288E+00
19,+7.954000E-05,+1.098208E+00,+7.963600E-05,-1.094758E+00
20,+1.001000E-04,+1.099720E+00,+1.004657E-04,-1.096068E+00
21,+1.261000E-04,+1.076168E+00,+1.262270E-04,-1.072206E+00
22,+1.587000E-04,+1.104122E+00,+1.589000E-04,-1.098900E+00
23,+1.999000E-04,+1.106740E+00,+2.000100E-04,-1.100402E+00
24,+2.516000E-04,+1.109754E+00,+2.517890E-04,-1.102086E+00
25,+3.168000E-04,+1.113334E+00,+3.169690E-04,-1.103954E+00
26,+3.989000E-04,+1.117630E+00,+3.989800E-04,-1.106014E+00
27,+5.022000E-04,+1.122680E+00,+5.022320E-04,-1.108334E+00
28,+6.322000E-04,+1.128624E+00,+6.325020E-04,-1.110894E+00
29,+7.960000E-04,+1.135718E+00,+7.961350E-04,-1.113592E+00
30,+1.002000E-03,+1.144190E+00,+1.002150E-03,-1.116480E+00
31,+1.262000E-03,+1.154120E+00,+1.261740E-03,-1.119592E+00
32,+1.589000E-03,+1.162278E+00,+1.588780E-03,-1.119506E+00
33,+2.000000E-03,+1.180730E+00,+2.000540E-03,-1.126810E+00
