,I2,V2,If,Vf
0,+1.000000E-06,+2.721760E-01,+1.518900E-06,-2.693900E-01
1,+1.259000E-06,+5.373480E-01,+1.590590E-06,-5.359060E-01
2,+1.585000E-06,+5.498240E-01,+1.930780E-06,-5.485340E-01
3,+1.996000E-06,+5.563120E-01,+2.356140E-06,-5.547760E-01
4,+2.513000E-06,+3.967100E-01,+2.851620E-06,-3.946780E-01
5,+3.163000E-06,+5.689160E-01,+3.499570E-06,-5.675920E-01
6,+3.983000E-06,+5.753600E-01,+4.316310E-06,-5.739000E-01
7,+5.014000E-06,+5.818080E-01,+5.337190E-06,-5.803480E-01
8,+6.313000E-06,+5.882160E-01,+6.614420E-06,-5.867380E-01
9,+7.948000E-06,+5.946880E-01,+8.244900E-06,-5.931440E-01
10,+1.001000E-05,+6.014300E-01,+1.032830E-05,-5.996180E-01
11,+1.260000E-05,+6.079180E-01,+1.276900E-05,-6.060840E-01
12,+1.586000E-05,+6.125120E-01,+1.606900E-05,-6.106100E-01
13,+1.997000E-05,+6.195920E-01,+2.033910E-05,-6.175820E-01
14,+2.514000E-05,+6.280660E-01,+2.553430E-05,-6.258220E-01
15,+3.166000E-05,+6.349160E-01,+3.205050E-05,-6.324300E-01
16,+3.986000E-05,+6.410060E-01,+4.022850E-05,-6.384020E-01
17,+5.018000E-05,+6.488240E-01,+5.055510E-05,-6.458500E-01
18,+6.318000E-05,+6.559120E-01,+6.360570E-05,-6.526840E-01
19,+7.954000E-05,+6.631920E-01,+7.993250E-05,-6.596200E-01
20,+1.001000E-04,+6.708920E-01,+1.004686E-04,-6.665740E-01
21,+1.261000E-04,+6.679500E-01,+1.264100E-04,-6.635040E-01
22,+1.587000E-04,+6.867840E-01,+1.590000E-04,-6.811080E-01
23,+1.999000E-04,+6.954380E-01,+2.001550E-04,-6.885720E-01
24,+2.516000E-04,+7.045400E-01,+2.518290E-04,-6.961800E-01
25,+3.168000E-04,+7.141600E-01,+3.170130E-04,-7.039240E-01
26,+3.989000E-04,+7.244020E-01,+3.990910E-04,-7.117640E-01
27,+5.022000E-04,+7.353500E-01,+5.023440E-04,-7.196860E-01
28,+6.322000E-04,+7.471300E-01,+6.326850E-04,-7.277460E-01
29,+7.960000E-04,+7.598860E-01,+7.964170E-04,-7.358700E-01
30,+1.002000E-03,+7.740240E-01,+1.002090E-03,-7.439860E-01
31,+1.262000E-03,+7.898440E-01,+1.261760E-03,-7.521600E-01
32,+1.589000E-03,+8.074640E-01,+1.588000E-03,-7.603380E-01
33,+2.000000E-03,+8.275740E-01,+2.000510E-03,-7.688520E-01
