,I2,V2,If,Vf
0,+1.000000E-06,+2.716380E-01,+1.592900E-06,-2.696200E-01
1,+1.259000E-06,+5.365820E-01,+1.619450E-06,-5.352980E-01
2,+1.585000E-06,+5.491880E-01,+1.984940E-06,-5.480520E-01
3,+1.996000E-06,+5.558580E-01,+2.424830E-06,-5.544020E-01
4,+2.513000E-06,+5.622640E-01,+2.883890E-06,-3.893760E-01
5,+3.163000E-06,+5.682260E-01,+3.554000E-06,-5.668480E-01
6,+3.983000E-06,+5.746420E-01,+4.391880E-06,-5.732560E-01
7,+5.014000E-06,+5.810700E-01,+5.396300E-06,-5.796460E-01
8,+6.313000E-06,+5.875660E-01,+6.683900E-06,-5.860620E-01
9,+7.948000E-06,+5.940460E-01,+8.305300E-06,-5.924300E-01
10,+1.001000E-05,+5.978800E-01,+1.044999E-05,-5.959880E-01
11,+1.260000E-05,+5.400880E-01,+1.295060E-05,-5.392540E-01
12,+1.586000E-05,+6.138340E-01,+1.610600E-05,-6.118720E-01
13,+1.997000E-05,+6.188840E-01,+2.036490E-05,-6.168360E-01
14,+2.514000E-05,+6.273700E-01,+2.560440E-05,-6.251120E-01
15,+3.166000E-05,+6.331740E-01,+3.211520E-05,-6.307640E-01
16,+3.986000E-05,+6.411180E-01,+4.031570E-05,-6.384120E-01
17,+5.018000E-05,+6.481620E-01,+5.060440E-05,-6.451640E-01
18,+6.318000E-05,+6.553340E-01,+6.362400E-05,-6.520240E-01
19,+7.954000E-05,+6.625540E-01,+7.997310E-05,-6.589400E-01
20,+1.001000E-04,+6.698980E-01,+1.003130E-04,-6.659060E-01
21,+1.261000E-04,+6.779100E-01,+1.262850E-04,-6.731600E-01
22,+1.587000E-04,+6.861920E-01,+1.589760E-04,-6.804740E-01
23,+1.999000E-04,+6.948700E-01,+2.000420E-04,-6.879280E-01
24,+2.516000E-04,+7.039700E-01,+2.517930E-04,-6.955580E-01
25,+3.168000E-04,+7.136120E-01,+3.169600E-04,-7.032920E-01
26,+3.989000E-04,+7.238420E-01,+3.990850E-04,-7.111640E-01
27,+5.022000E-04,+7.347760E-01,+5.023170E-04,-7.191300E-01
28,+6.322000E-04,+7.466000E-01,+6.326280E-04,-7.272020E-01
29,+7.960000E-04,+7.594280E-01,+7.964640E-04,-7.352960E-01
30,+1.002000E-03,+7.736880E-01,+1.002130E-03,-7.434380E-01
31,+1.262000E-03,+7.893100E-01,+1.261810E-03,-7.516360E-01
32,+1.589000E-03,+8.069500E-01,+1.588880E-03,-7.598320E-01
33,+2.000000E-03,+8.270580E-01,+2.000530E-03,-7.679900E-01
