,I2,V2,If,Vf
0,+1.000000E-06,+2.184800E-02,+3.677600E-06,-1.912200E-02
1,+1.259000E-06,+8.795800E-02,+3.647500E-06,-8.925400E-02
2,+1.585000E-06,+1.005040E-01,+3.568000E-06,-1.017740E-01
3,+1.996000E-06,+1.128620E-01,+4.047200E-06,-1.120000E-01
4,+2.513000E-06,+1.252720E-01,+4.672500E-06,-1.258700E-01
5,+3.163000E-06,+1.386760E-01,+5.477310E-06,-1.355820E-01
6,+3.983000E-06,+1.123900E-01,+6.248600E-06,-1.105600E-01
7,+5.014000E-06,+1.625760E-01,+7.217900E-06,-1.622200E-01
8,+6.313000E-06,+1.820860E-01,+8.032000E-06,-1.820380E-01
9,+7.948000E-06,+2.039720E-01,+1.004990E-05,-2.043200E-01
10,+1.001000E-05,+2.361020E-01,+1.182000E-05,-2.379420E-01
11,+1.260000E-05,+2.741960E-01,+1.465230E-05,-2.793080E-01
12,+1.586000E-05,+3.237740E-01,+1.776890E-05,-3.288860E-01
13,+1.997000E-05,+3.623180E-01,+2.208990E-05,-3.636240E-01
14,+2.514000E-05,+3.903520E-01,+2.728900E-05,-3.891080E-01
15,+3.166000E-05,+4.088740E-01,+3.292100E-05,-4.060380E-01
16,+3.986000E-05,+4.256760E-01,+4.165320E-05,-4.217940E-01
17,+5.018000E-05,+4.405620E-01,+5.190660E-05,-4.365080E-01
18,+6.318000E-05,+4.533820E-01,+6.474150E-05,-4.487620E-01
19,+7.954000E-05,+4.657680E-01,+8.098110E-05,-4.606200E-01
20,+1.001000E-04,+4.780680E-01,+1.011595E-04,-4.713700E-01
21,+1.261000E-04,+4.839360E-01,+1.265940E-04,-4.780720E-01
22,+1.587000E-04,+5.016900E-01,+1.591470E-04,-4.945460E-01
23,+1.999000E-04,+5.143660E-01,+2.002510E-04,-5.058840E-01
24,+2.516000E-04,+5.273120E-01,+2.518350E-04,-5.172320E-01
25,+3.168000E-04,+5.406820E-01,+3.171030E-04,-5.285560E-01
26,+3.989000E-04,+5.546400E-01,+3.991920E-04,-5.400200E-01
27,+5.022000E-04,+5.692060E-01,+5.021750E-04,-5.515340E-01
28,+6.322000E-04,+5.845160E-01,+6.323100E-04,-5.629780E-01
29,+7.960000E-04,+6.011200E-01,+7.960200E-04,-5.744260E-01
30,+1.002000E-03,+6.192620E-01,+1.002193E-03,-5.859500E-01
31,+1.262000E-03,+6.385620E-01,+1.262440E-03,-5.972520E-01
32,+1.589000E-03,+6.596940E-01,+1.589310E-03,-6.088080E-01
33,+2.000000E-03,+6.835520E-01,+2.000850E-03,-6.202140E-01
