,I2,V2,If,Vf
0,+1.000000E-06,+3.307920E-01,+1.168893E-06,-3.106500E-01
1,+1.259000E-06,+3.662180E-01,+1.922560E-06,-3.704120E-01
2,+1.585000E-06,+3.851400E-01,+2.402250E-06,-4.039020E-01
3,+1.996000E-06,+8.662440E-01,+2.828570E-06,-8.640360E-01
4,+2.513000E-06,+8.713060E-01,+3.254010E-06,-8.677200E-01
5,+3.163000E-06,+8.720540E-01,+3.888170E-06,-8.698360E-01
6,+3.983000E-06,+8.750660E-01,+4.720730E-06,-8.727400E-01
7,+5.014000E-06,+8.780740E-01,+5.712360E-06,-8.756720E-01
8,+6.313000E-06,+8.810500E-01,+7.034500E-06,-8.786140E-01
9,+7.948000E-06,+8.840700E-01,+8.566200E-06,-8.815600E-01
10,+1.001000E-05,+8.871420E-01,+1.082150E-05,-8.843540E-01
11,+1.260000E-05,+8.901640E-01,+1.336690E-05,-8.873320E-01
12,+1.586000E-05,+8.933560E-01,+1.672210E-05,-8.903900E-01
13,+1.997000E-05,+8.916920E-01,+2.087840E-05,-8.885740E-01
14,+2.514000E-05,+8.957580E-01,+2.606560E-05,-8.923940E-01
15,+3.166000E-05,+9.029980E-01,+3.157600E-05,-8.994500E-01
16,+3.986000E-05,+9.034820E-01,+4.074250E-05,-8.997220E-01
17,+5.018000E-05,+9.095100E-01,+5.113100E-05,-9.033140E-01
18,+6.318000E-05,+9.128340E-01,+6.404810E-05,-9.085780E-01
19,+7.954000E-05,+9.162700E-01,+7.960600E-05,-9.116440E-01
20,+1.001000E-04,+9.187640E-01,+1.007002E-04,-9.141860E-01
21,+1.261000E-04,+8.679520E-01,+1.268000E-04,-8.641780E-01
22,+1.587000E-04,+9.271360E-01,+1.593900E-04,-9.208980E-01
23,+1.999000E-04,+9.315980E-01,+2.005400E-04,-9.242320E-01
24,+2.516000E-04,+9.363560E-01,+2.516260E-04,-9.275920E-01
25,+3.168000E-04,+9.414680E-01,+3.166600E-04,-9.310720E-01
26,+3.989000E-04,+9.471500E-01,+3.989770E-04,-9.346120E-01
27,+5.022000E-04,+9.537880E-01,+5.027500E-04,-9.381640E-01
28,+6.322000E-04,+9.611120E-01,+6.329000E-04,-9.419820E-01
29,+7.960000E-04,+9.695000E-01,+7.963130E-04,-9.459360E-01
30,+1.002000E-03,+9.642880E-01,+1.002540E-03,-9.359540E-01
31,+1.262000E-03,+9.908360E-01,+1.262240E-03,-9.543800E-01
32,+1.589000E-03,+1.004330E+00,+1.589240E-03,-9.590160E-01
33,+2.000000E-03,+1.020470E+00,+2.000900E-03,-9.638300E-01
