,I2,V2,If,Vf
0,+1.000000E-06,+3.095160E-01,+2.417200E-06,-3.237420E-01
1,+1.259000E-06,+9.153160E-01,+2.610700E-06,-9.131800E-01
2,+1.585000E-06,+8.948660E-01,+2.926600E-06,-8.924620E-01
3,+1.996000E-06,+9.198280E-01,+3.351800E-06,-9.175460E-01
4,+2.513000E-06,+9.221480E-01,+3.827300E-06,-9.198020E-01
5,+3.163000E-06,+9.244380E-01,+4.490700E-06,-9.222160E-01
6,+3.983000E-06,+9.120300E-01,+5.264800E-06,-9.092620E-01
7,+5.014000E-06,+9.292760E-01,+5.634800E-06,-9.269260E-01
8,+6.313000E-06,+9.313460E-01,+6.992570E-06,-9.289820E-01
9,+7.948000E-06,+9.338840E-01,+8.617620E-06,-9.314400E-01
10,+1.001000E-05,+6.553980E-01,+1.094638E-05,-6.552380E-01
11,+1.260000E-05,+6.790760E-01,+1.342350E-05,-6.798560E-01
12,+1.586000E-05,+9.418720E-01,+1.681870E-05,-9.388920E-01
13,+1.997000E-05,+9.445680E-01,+2.091960E-05,-9.413940E-01
14,+2.514000E-05,+9.430320E-01,+2.613910E-05,-9.397560E-01
15,+3.166000E-05,+9.500880E-01,+3.259400E-05,-9.465680E-01
16,+3.986000E-05,+9.529440E-01,+4.081230E-05,-9.490700E-01
17,+5.018000E-05,+9.557500E-01,+5.106220E-05,-9.516580E-01
18,+6.318000E-05,+9.586320E-01,+6.406790E-05,-9.542560E-01
19,+7.954000E-05,+9.615560E-01,+8.037600E-05,-9.568960E-01
20,+1.001000E-04,+9.662740E-01,+1.009833E-04,-9.591180E-01
21,+1.261000E-04,+9.095860E-01,+1.260690E-04,-9.061280E-01
22,+1.587000E-04,+9.710620E-01,+1.587900E-04,-9.648940E-01
23,+1.999000E-04,+9.750540E-01,+2.005600E-04,-9.677840E-01
24,+2.516000E-04,+9.794600E-01,+2.523400E-04,-9.706760E-01
25,+3.168000E-04,+9.841960E-01,+3.175600E-04,-9.736560E-01
26,+3.989000E-04,+9.894660E-01,+3.996400E-04,-9.766940E-01
27,+5.022000E-04,+9.954240E-01,+5.024530E-04,-9.798260E-01
28,+6.322000E-04,+1.002200E+00,+6.331200E-04,-9.831200E-01
29,+7.960000E-04,+1.010040E+00,+7.968400E-04,-9.865660E-01
30,+1.002000E-03,+1.019424E+00,+1.002520E-03,-9.901540E-01
31,+1.262000E-03,+1.030176E+00,+1.262240E-03,-9.939980E-01
32,+1.589000E-03,+1.043026E+00,+1.589190E-03,-9.980280E-01
33,+2.000000E-03,+1.058460E+00,+2.000900E-03,-1.002266E+00
