,I2,V2,If,Vf
0,+1.000000E-06,+6.190760E-01,+1.565500E-06,-6.188740E-01
1,+1.259000E-06,+1.008588E+00,+1.716930E-06,-1.006650E+00
2,+1.585000E-06,+1.017404E+00,+2.085960E-06,-1.015618E+00
3,+1.996000E-06,+7.160900E-01,+2.470800E-06,-7.219040E-01
4,+2.513000E-06,+1.021740E+00,+3.026220E-06,-1.019782E+00
5,+3.163000E-06,+1.023666E+00,+3.648110E-06,-1.021822E+00
6,+3.983000E-06,+1.025842E+00,+4.501240E-06,-7.787000E-01
7,+5.014000E-06,+1.028256E+00,+5.504300E-06,-1.026278E+00
8,+6.313000E-06,+1.030598E+00,+6.815800E-06,-1.028550E+00
9,+7.948000E-06,+1.033000E+00,+8.446910E-06,-1.030868E+00
10,+1.001000E-05,+8.475720E-01,+1.061630E-05,-8.487100E-01
11,+1.260000E-05,+1.037932E+00,+1.324750E-05,-1.035464E+00
12,+1.586000E-05,+1.040332E+00,+1.643860E-05,-1.037640E+00
13,+1.997000E-05,+1.041688E+00,+2.063290E-05,-1.038754E+00
14,+2.514000E-05,+1.044912E+00,+2.578730E-05,-1.041880E+00
15,+3.166000E-05,+1.047086E+00,+3.236170E-05,-1.043882E+00
16,+3.986000E-05,+1.049184E+00,+4.050610E-05,-1.045804E+00
17,+5.018000E-05,+1.050724E+00,+5.088430E-05,-1.047174E+00
18,+6.318000E-05,+1.053392E+00,+6.318400E-05,-1.049462E+00
19,+7.954000E-05,+1.055046E+00,+8.017740E-05,-1.050882E+00
20,+1.001000E-04,+1.057000E+00,+1.000250E-04,-1.052808E+00
21,+1.261000E-04,+1.059486E+00,+1.259320E-04,-1.054602E+00
22,+1.587000E-04,+1.062110E+00,+1.591300E-04,-1.056370E+00
23,+1.999000E-04,+1.064978E+00,+2.002700E-04,-1.058156E+00
24,+2.516000E-04,+1.068146E+00,+2.519300E-04,-1.059940E+00
25,+3.168000E-04,+1.071714E+00,+3.172600E-04,-1.061784E+00
26,+3.989000E-04,+1.075768E+00,+3.992800E-04,-1.063602E+00
27,+5.022000E-04,+1.080476E+00,+5.025900E-04,-1.065574E+00
28,+6.322000E-04,+1.086000E+00,+6.328400E-04,-1.067658E+00
29,+7.960000E-04,+1.092526E+00,+7.966000E-04,-1.069796E+00
30,+1.002000E-03,+1.100504E+00,+1.003400E-03,-1.072162E+00
31,+1.262000E-03,+1.100834E+00,+1.262090E-03,-1.066390E+00
32,+1.589000E-03,+1.121288E+00,+1.589190E-03,-1.077448E+00
33,+2.000000E-03,+1.135178E+00,+2.000880E-03,-1.080378E+00
