,I2,V2,If,Vf
0,+1.000000E-06,+5.745800E-02,+1.796750E-06,-5.089200E-02
1,+1.259000E-06,+3.115280E-01,+1.920110E-06,-3.098500E-01
2,+1.585000E-06,+3.196100E-01,+2.180940E-06,-3.175560E-01
3,+1.996000E-06,+3.282240E-01,+2.595640E-06,-3.259480E-01
4,+2.513000E-06,+3.364140E-01,+3.100130E-06,-3.346160E-01
5,+3.163000E-06,+2.252860E-01,+3.782440E-06,-2.245260E-01
6,+3.983000E-06,+2.487560E-01,+4.653190E-06,-2.481640E-01
7,+5.014000E-06,+3.616540E-01,+5.659440E-06,-3.593980E-01
8,+6.313000E-06,+3.699860E-01,+6.880600E-06,-3.678940E-01
9,+7.948000E-06,+3.785420E-01,+8.542600E-06,-3.762960E-01
10,+1.001000E-05,+3.877200E-01,+1.006500E-05,-3.851520E-01
11,+1.260000E-05,+3.937400E-01,+1.248100E-05,-3.911180E-01
12,+1.586000E-05,+4.031280E-01,+1.584200E-05,-4.003320E-01
13,+1.997000E-05,+4.125660E-01,+1.994600E-05,-4.096700E-01
14,+2.514000E-05,+4.221100E-01,+2.516000E-05,-4.190620E-01
15,+3.166000E-05,+4.316520E-01,+3.235460E-05,-4.283680E-01
16,+3.986000E-05,+4.419900E-01,+4.057880E-05,-4.376820E-01
17,+5.018000E-05,+4.515780E-01,+5.089810E-05,-4.477480E-01
18,+6.318000E-05,+4.609040E-01,+6.393950E-05,-4.569480E-01
19,+7.954000E-05,+4.713680E-01,+8.005340E-05,-4.669080E-01
20,+1.001000E-04,+4.817480E-01,+1.006084E-04,-4.770060E-01
21,+1.261000E-04,+4.863520E-01,+1.260580E-04,-4.816220E-01
22,+1.587000E-04,+5.037880E-01,+1.585240E-04,-4.973180E-01
23,+1.999000E-04,+5.156580E-01,+1.996100E-04,-5.078320E-01
24,+2.516000E-04,+5.279820E-01,+2.514500E-04,-5.186080E-01
25,+3.168000E-04,+5.408320E-01,+3.168400E-04,-5.295520E-01
26,+3.989000E-04,+5.544120E-01,+3.988910E-04,-5.406380E-01
27,+5.022000E-04,+5.687300E-01,+5.023410E-04,-5.517820E-01
28,+6.322000E-04,+5.839280E-01,+6.328700E-04,-5.630760E-01
29,+7.960000E-04,+6.001580E-01,+7.964450E-04,-5.743500E-01
30,+1.002000E-03,+6.178740E-01,+1.002690E-03,-5.857060E-01
31,+1.262000E-03,+6.370260E-01,+1.262190E-03,-5.970200E-01
32,+1.589000E-03,+6.582200E-01,+1.589260E-03,-6.083600E-01
33,+2.000000E-03,+6.819000E-01,+2.000950E-03,-6.196840E-01
