,I2,V2,If,Vf
0,+1.000000E-06,+3.758780E-01,+1.615250E-06,-3.488180E-01
1,+1.259000E-06,+9.145660E-01,+1.948670E-06,-9.123180E-01
2,+1.585000E-06,+9.167760E-01,+2.263890E-06,-9.145740E-01
3,+1.996000E-06,+9.191500E-01,+2.598400E-06,-9.171140E-01
4,+2.513000E-06,+9.216300E-01,+3.108900E-06,-9.194300E-01
5,+3.163000E-06,+9.241060E-01,+3.780400E-06,-9.219660E-01
6,+3.983000E-06,+9.266060E-01,+4.602800E-06,-9.243920E-01
7,+5.014000E-06,+9.178900E-01,+5.669220E-06,-9.156700E-01
8,+6.313000E-06,+9.316620E-01,+6.072000E-06,-9.292600E-01
9,+7.948000E-06,+9.255700E-01,+8.551700E-06,-9.230460E-01
10,+1.001000E-05,+9.368720E-01,+1.074510E-05,-9.340460E-01
11,+1.260000E-05,+9.394100E-01,+1.329300E-05,-9.365340E-01
12,+1.586000E-05,+9.421120E-01,+1.661110E-05,-9.391120E-01
13,+1.997000E-05,+9.448660E-01,+2.078600E-05,-9.416980E-01
14,+2.514000E-05,+9.476400E-01,+2.606590E-05,-9.442460E-01
15,+3.166000E-05,+9.469660E-01,+3.252780E-05,-9.433080E-01
16,+3.986000E-05,+9.531680E-01,+4.084070E-05,-9.494180E-01
17,+5.018000E-05,+9.559800E-01,+5.015000E-05,-9.520000E-01
18,+6.318000E-05,+9.570340E-01,+6.408320E-05,-9.528220E-01
19,+7.954000E-05,+9.603440E-01,+8.031180E-05,-9.557760E-01
20,+1.001000E-04,+8.947560E-01,+9.992700E-05,-8.926360E-01
21,+1.261000E-04,+9.676000E-01,+1.259070E-04,-9.623200E-01
22,+1.587000E-04,+9.713640E-01,+1.585850E-04,-9.651660E-01
23,+1.999000E-04,+9.753600E-01,+1.996810E-04,-9.680800E-01
24,+2.516000E-04,+9.796940E-01,+2.515590E-04,-9.709960E-01
25,+3.168000E-04,+9.844180E-01,+3.167100E-04,-9.739900E-01
26,+3.989000E-04,+9.896860E-01,+3.989450E-04,-9.770360E-01
27,+5.022000E-04,+9.956320E-01,+5.028600E-04,-9.801740E-01
28,+6.322000E-04,+1.002414E+00,+6.330000E-04,-9.834400E-01
29,+7.960000E-04,+1.010248E+00,+7.967700E-04,-9.868340E-01
30,+1.002000E-03,+1.003594E+00,+1.003600E-03,-9.755400E-01
31,+1.262000E-03,+1.017418E+00,+1.262040E-03,-9.824380E-01
32,+1.589000E-03,+1.043230E+00,+1.589150E-03,-9.982700E-01
33,+2.000000E-03,+1.058614E+00,+2.000860E-03,-1.002546E+00
