,I2,V2,If,Vf
0,+1.000000E-06,+2.650700E-01,+1.370680E-06,-2.638820E-01
1,+1.259000E-06,+5.116720E-01,+1.503920E-06,-5.105520E-01
2,+1.585000E-06,+5.183920E-01,+1.841730E-06,-5.172040E-01
3,+1.996000E-06,+5.251180E-01,+2.248550E-06,-5.239440E-01
4,+2.513000E-06,+5.319980E-01,+2.778110E-06,-5.307000E-01
5,+3.163000E-06,+5.387320E-01,+3.427390E-06,-5.374580E-01
6,+3.983000E-06,+5.455300E-01,+4.259490E-06,-5.442280E-01
7,+5.014000E-06,+5.524440E-01,+5.292300E-06,-5.510640E-01
8,+6.313000E-06,+5.591620E-01,+6.582500E-06,-5.577020E-01
9,+7.948000E-06,+5.624940E-01,+8.193000E-06,-5.610340E-01
10,+1.001000E-05,+4.991000E-01,+1.026990E-05,-4.970060E-01
11,+1.260000E-05,+5.798220E-01,+1.285620E-05,-5.780520E-01
12,+1.586000E-05,+5.867520E-01,+1.613360E-05,-5.849460E-01
13,+1.997000E-05,+5.938080E-01,+2.017200E-05,-5.918600E-01
14,+2.514000E-05,+5.995500E-01,+2.546430E-05,-5.974640E-01
15,+3.166000E-05,+6.081100E-01,+3.202750E-05,-6.057760E-01
16,+3.986000E-05,+6.153740E-01,+4.022500E-05,-6.127860E-01
17,+5.018000E-05,+6.227860E-01,+5.051840E-05,-6.198780E-01
18,+6.318000E-05,+6.303380E-01,+6.352780E-05,-6.270840E-01
19,+7.954000E-05,+6.379660E-01,+7.983690E-05,-6.343840E-01
20,+1.001000E-04,+6.459420E-01,+1.003257E-04,-6.418220E-01
21,+1.261000E-04,+6.441060E-01,+1.262970E-04,-6.397100E-01
22,+1.587000E-04,+6.627200E-01,+1.588830E-04,-6.571580E-01
23,+1.999000E-04,+6.718220E-01,+1.999950E-04,-6.650540E-01
24,+2.516000E-04,+6.813660E-01,+2.517350E-04,-6.730800E-01
25,+3.168000E-04,+6.914460E-01,+3.169600E-04,-6.812460E-01
26,+3.989000E-04,+7.021180E-01,+3.990830E-04,-6.895260E-01
27,+5.022000E-04,+7.135120E-01,+5.022500E-04,-6.979340E-01
28,+6.322000E-04,+7.257660E-01,+6.326500E-04,-7.064340E-01
29,+7.960000E-04,+7.391020E-01,+7.963500E-04,-7.149400E-01
30,+1.002000E-03,+7.538100E-01,+1.002210E-03,-7.235200E-01
31,+1.262000E-03,+7.699160E-01,+1.261810E-03,-7.321280E-01
32,+1.589000E-03,+7.879980E-01,+1.588950E-03,-7.407780E-01
33,+2.000000E-03,+8.085640E-01,+2.000630E-03,-7.494140E-01
