,I2,V2,If,Vf
0,+1.000000E-06,+6.131800E-02,+1.713600E-06,-6.328200E-02
1,+1.259000E-06,+3.119880E-01,+1.995600E-06,-3.101460E-01
2,+1.585000E-06,+3.202340E-01,+2.312600E-06,-3.177700E-01
3,+1.996000E-06,+3.281100E-01,+2.750840E-06,-3.262800E-01
4,+2.513000E-06,+3.363280E-01,+3.216580E-06,-3.345100E-01
5,+3.163000E-06,+3.390020E-01,+3.872720E-06,-3.367440E-01
6,+3.983000E-06,+3.530180E-01,+4.724100E-06,-3.508340E-01
7,+5.014000E-06,+3.568280E-01,+5.725200E-06,-3.544640E-01
8,+6.313000E-06,+3.699720E-01,+7.005900E-06,-3.676920E-01
9,+7.948000E-06,+3.783760E-01,+8.659790E-06,-3.761620E-01
10,+1.001000E-05,+3.874260E-01,+1.078130E-05,-3.849360E-01
11,+1.260000E-05,+3.960620E-01,+1.335460E-05,-3.935080E-01
12,+1.586000E-05,+4.048740E-01,+1.663710E-05,-4.022960E-01
13,+1.997000E-05,+4.139380E-01,+2.078230E-05,-4.112180E-01
14,+2.514000E-05,+4.231440E-01,+2.600430E-05,-4.201160E-01
15,+3.166000E-05,+4.323880E-01,+3.250230E-05,-4.291680E-01
16,+3.986000E-05,+4.417780E-01,+4.081460E-05,-4.383640E-01
17,+5.018000E-05,+4.513320E-01,+5.104100E-05,-4.476560E-01
18,+6.318000E-05,+4.612160E-01,+6.382260E-05,-4.571280E-01
19,+7.954000E-05,+4.712560E-01,+8.013480E-05,-4.667980E-01
20,+1.001000E-04,+4.815860E-01,+1.007042E-04,-4.765680E-01
21,+1.261000E-04,+4.865340E-01,+1.260860E-04,-4.818260E-01
22,+1.587000E-04,+5.036640E-01,+1.587290E-04,-4.971800E-01
23,+1.999000E-04,+5.154700E-01,+1.998780E-04,-5.077840E-01
24,+2.516000E-04,+5.278180E-01,+2.516520E-04,-5.185440E-01
25,+3.168000E-04,+5.407180E-01,+3.168090E-04,-5.294960E-01
26,+3.989000E-04,+5.542340E-01,+3.991410E-04,-5.405900E-01
27,+5.022000E-04,+5.686160E-01,+5.025200E-04,-5.517660E-01
28,+6.322000E-04,+5.838080E-01,+6.327600E-04,-5.630260E-01
29,+7.960000E-04,+6.000300E-01,+7.965600E-04,-5.743500E-01
30,+1.002000E-03,+6.177500E-01,+1.002560E-03,-5.861020E-01
31,+1.262000E-03,+6.368740E-01,+1.262270E-03,-5.970260E-01
32,+1.589000E-03,+6.580560E-01,+1.589300E-03,-6.083780E-01
33,+2.000000E-03,+6.818380E-01,+2.001030E-03,-6.196620E-01
