,I2,V2,If,Vf
0,+1.000000E-06,+1.380180E-01,+1.465910E-06,-1.384860E-01
1,+1.259000E-06,+3.515000E-01,+1.549280E-06,-3.505660E-01
2,+1.585000E-06,+3.593920E-01,+1.879610E-06,-3.583280E-01
3,+1.996000E-06,+2.197380E-01,+2.289600E-06,-2.183540E-01
4,+2.513000E-06,+3.755800E-01,+2.797170E-06,-3.742020E-01
5,+3.163000E-06,+2.639280E-01,+3.499030E-06,-2.633540E-01
6,+3.983000E-06,+2.865320E-01,+4.361470E-06,-2.855020E-01
7,+5.014000E-06,+4.001440E-01,+5.356060E-06,-3.985820E-01
8,+6.313000E-06,+4.078080E-01,+6.673200E-06,-4.064000E-01
9,+7.948000E-06,+4.160900E-01,+8.314700E-06,-4.145480E-01
10,+1.001000E-05,+4.220520E-01,+1.040810E-05,-4.204900E-01
11,+1.260000E-05,+4.328020E-01,+1.300130E-05,-4.311920E-01
12,+1.586000E-05,+4.413000E-01,+1.624130E-05,-4.395200E-01
13,+1.997000E-05,+4.499420E-01,+2.035730E-05,-4.480180E-01
14,+2.514000E-05,+4.585800E-01,+2.555700E-05,-4.565180E-01
15,+3.166000E-05,+4.673840E-01,+3.202570E-05,-4.651200E-01
16,+3.986000E-05,+4.763780E-01,+4.023490E-05,-4.738700E-01
17,+5.018000E-05,+4.855340E-01,+5.057550E-05,-4.827580E-01
18,+6.318000E-05,+4.945840E-01,+6.354790E-05,-4.915820E-01
19,+7.954000E-05,+5.046220E-01,+7.990270E-05,-5.010320E-01
20,+1.001000E-04,+5.144660E-01,+1.003873E-04,-5.104620E-01
21,+1.261000E-04,+5.184500E-01,+1.263170E-04,-5.141620E-01
22,+1.587000E-04,+5.354580E-01,+1.589980E-04,-5.298920E-01
23,+1.999000E-04,+5.467400E-01,+2.001160E-04,-5.399340E-01
24,+2.516000E-04,+5.585100E-01,+2.517620E-04,-5.501400E-01
25,+3.168000E-04,+5.708500E-01,+3.170330E-04,-5.605440E-01
26,+3.989000E-04,+5.838400E-01,+3.991010E-04,-5.710300E-01
27,+5.022000E-04,+5.975600E-01,+5.023340E-04,-5.816540E-01
28,+6.322000E-04,+6.121860E-01,+6.326400E-04,-5.923700E-01
29,+7.960000E-04,+6.278300E-01,+7.963300E-04,-6.031220E-01
30,+1.002000E-03,+6.448220E-01,+1.002060E-03,-6.138980E-01
31,+1.262000E-03,+6.633980E-01,+1.261670E-03,-6.246900E-01
32,+1.589000E-03,+6.839480E-01,+1.588740E-03,-6.354880E-01
33,+2.000000E-03,+7.070260E-01,+2.000400E-03,-6.462640E-01
