,I2,V2,If,Vf
0,+1.000000E-06,+2.681780E-01,+1.757890E-06,-2.658340E-01
1,+1.259000E-06,+7.505540E-01,+2.074970E-06,-7.496160E-01
2,+1.585000E-06,+7.544220E-01,+2.326640E-06,-7.523300E-01
3,+1.996000E-06,+7.585120E-01,+2.831520E-06,-7.564460E-01
4,+2.513000E-06,+7.626500E-01,+3.347490E-06,-7.604100E-01
5,+3.163000E-06,+7.667220E-01,+4.019900E-06,-7.646340E-01
6,+3.983000E-06,+7.615040E-01,+4.699700E-06,-7.590820E-01
7,+5.014000E-06,+7.751280E-01,+5.806500E-06,-7.728960E-01
8,+6.313000E-06,+7.793480E-01,+7.148340E-06,-7.770140E-01
9,+7.948000E-06,+5.428820E-01,+8.621500E-06,-5.404540E-01
10,+1.001000E-05,+7.818840E-01,+1.075720E-05,-7.790240E-01
11,+1.260000E-05,+7.922140E-01,+1.336190E-05,-7.894180E-01
12,+1.586000E-05,+7.965540E-01,+1.677370E-05,-7.936600E-01
13,+1.997000E-05,+8.009540E-01,+2.097160E-05,-7.979300E-01
14,+2.514000E-05,+8.054400E-01,+2.615400E-05,-8.020460E-01
15,+3.166000E-05,+8.071320E-01,+3.260060E-05,-8.035700E-01
16,+3.986000E-05,+8.142400E-01,+4.075400E-05,-8.104020E-01
17,+5.018000E-05,+8.186580E-01,+5.111250E-05,-8.146000E-01
18,+6.318000E-05,+8.231520E-01,+6.405930E-05,-8.187620E-01
19,+7.954000E-05,+8.277380E-01,+8.033950E-05,-8.229800E-01
20,+1.001000E-04,+7.831000E-01,+1.001210E-04,-7.800140E-01
21,+1.261000E-04,+8.365900E-01,+1.260970E-04,-8.311860E-01
22,+1.587000E-04,+8.420320E-01,+1.587350E-04,-8.357280E-01
23,+1.999000E-04,+8.476800E-01,+1.997880E-04,-8.402320E-01
24,+2.516000E-04,+8.537040E-01,+2.516200E-04,-8.448040E-01
25,+3.168000E-04,+8.601660E-01,+3.167940E-04,-8.494540E-01
26,+3.989000E-04,+8.672080E-01,+3.989900E-04,-8.541940E-01
27,+5.022000E-04,+8.748900E-01,+5.023430E-04,-8.590700E-01
28,+6.322000E-04,+8.835320E-01,+6.328700E-04,-8.640860E-01
29,+7.960000E-04,+8.932100E-01,+7.966000E-04,-8.691960E-01
30,+1.002000E-03,+9.044160E-01,+1.002300E-03,-8.744460E-01
31,+1.262000E-03,+9.170400E-01,+1.261940E-03,-8.799120E-01
32,+1.589000E-03,+9.289540E-01,+1.589040E-03,-8.837980E-01
33,+2.000000E-03,+9.489260E-01,+2.000760E-03,-8.912660E-01
