,I2,V2,If,Vf
0,+1.000000E-06,+1.389180E-01,+1.541590E-06,-1.389480E-01
1,+1.259000E-06,+3.541860E-01,+1.590350E-06,-3.532260E-01
2,+1.585000E-06,+3.619140E-01,+1.910910E-06,-3.609860E-01
3,+1.996000E-06,+3.698060E-01,+2.302260E-06,-3.688160E-01
4,+2.513000E-06,+3.776940E-01,+2.833250E-06,-3.767660E-01
5,+3.163000E-06,+3.857000E-01,+3.489180E-06,-3.846760E-01
6,+3.983000E-06,+3.936820E-01,+4.321330E-06,-3.926140E-01
7,+5.014000E-06,+4.018580E-01,+5.337870E-06,-4.006240E-01
8,+6.313000E-06,+4.099620E-01,+6.630250E-06,-4.086860E-01
9,+7.948000E-06,+4.189460E-01,+8.287730E-06,-4.168060E-01
10,+1.001000E-05,+4.266140E-01,+1.022900E-05,-4.250720E-01
11,+1.260000E-05,+4.328200E-01,+1.298230E-05,-4.312200E-01
12,+1.586000E-05,+4.433680E-01,+1.622150E-05,-4.416040E-01
13,+1.997000E-05,+4.519540E-01,+2.039440E-05,-4.500520E-01
14,+2.514000E-05,+4.595860E-01,+2.557870E-05,-4.575360E-01
15,+3.166000E-05,+4.685900E-01,+3.247310E-05,-4.664420E-01
16,+3.986000E-05,+4.786940E-01,+4.070420E-05,-4.759820E-01
17,+5.018000E-05,+4.877700E-01,+5.105030E-05,-4.847720E-01
18,+6.318000E-05,+4.971420E-01,+6.399770E-05,-4.932700E-01
19,+7.954000E-05,+5.066060E-01,+8.025790E-05,-5.028420E-01
20,+1.001000E-04,+5.167760E-01,+1.007766E-04,-5.120960E-01
21,+1.261000E-04,+5.205040E-01,+1.265290E-04,-5.158240E-01
22,+1.587000E-04,+5.374580E-01,+1.591660E-04,-5.316460E-01
23,+1.999000E-04,+5.487100E-01,+2.001550E-04,-5.416260E-01
24,+2.516000E-04,+5.604440E-01,+2.520240E-04,-5.518160E-01
25,+3.168000E-04,+5.727460E-01,+3.171850E-04,-5.621560E-01
26,+3.989000E-04,+5.856660E-01,+3.992050E-04,-5.726220E-01
27,+5.022000E-04,+5.993560E-01,+5.023820E-04,-5.832080E-01
28,+6.322000E-04,+6.139400E-01,+6.327050E-04,-5.938980E-01
29,+7.960000E-04,+6.295460E-01,+7.965600E-04,-6.046200E-01
30,+1.002000E-03,+6.465820E-01,+1.002340E-03,-6.153380E-01
31,+1.262000E-03,+6.650640E-01,+1.261990E-03,-6.261240E-01
32,+1.589000E-03,+6.856000E-01,+1.589020E-03,-6.368960E-01
33,+2.000000E-03,+7.086980E-01,+2.000740E-03,-6.476400E-01
