,I2,V2,If,Vf
0,+1.000000E-06,+2.358880E-01,+1.750200E-06,-2.307220E-01
1,+1.259000E-06,+6.357400E-01,+1.897490E-06,-6.340620E-01
2,+1.585000E-06,+6.407140E-01,+2.290480E-06,-6.392380E-01
3,+1.996000E-06,+6.378200E-01,+2.688700E-06,-6.357000E-01
4,+2.513000E-06,+6.437980E-01,+3.154810E-06,-6.416420E-01
5,+3.163000E-06,+6.497440E-01,+3.828100E-06,-6.475980E-01
6,+3.983000E-06,+6.621260E-01,+4.612530E-06,-6.602980E-01
7,+5.014000E-06,+6.677740E-01,+5.681110E-06,-6.656620E-01
8,+6.313000E-06,+6.732540E-01,+6.957710E-06,-6.710680E-01
9,+7.948000E-06,+6.787940E-01,+8.594600E-06,-6.765100E-01
10,+1.001000E-05,+6.845320E-01,+1.075760E-05,-6.820220E-01
11,+1.260000E-05,+6.900880E-01,+1.329010E-05,-6.875300E-01
12,+1.586000E-05,+6.957800E-01,+1.661900E-05,-6.930880E-01
13,+1.997000E-05,+7.015140E-01,+2.074590E-05,-6.986700E-01
14,+2.514000E-05,+7.073180E-01,+2.593300E-05,-7.042520E-01
15,+3.166000E-05,+7.130940E-01,+3.249990E-05,-7.098500E-01
16,+3.986000E-05,+7.177040E-01,+4.069900E-05,-7.143040E-01
17,+5.018000E-05,+7.248420E-01,+5.095810E-05,-7.211680E-01
18,+6.318000E-05,+7.308440E-01,+6.406110E-05,-7.268800E-01
19,+7.954000E-05,+7.369320E-01,+8.041170E-05,-7.326320E-01
20,+1.001000E-04,+7.425980E-01,+1.006867E-04,-7.380700E-01
21,+1.261000E-04,+7.286580E-01,+1.259980E-04,-7.243500E-01
22,+1.587000E-04,+7.564120E-01,+1.586240E-04,-7.503440E-01
23,+1.999000E-04,+7.637880E-01,+1.997490E-04,-7.564920E-01
24,+2.516000E-04,+7.714940E-01,+2.515250E-04,-7.627720E-01
25,+3.168000E-04,+7.797740E-01,+3.167950E-04,-7.691460E-01
26,+3.989000E-04,+7.884620E-01,+3.987700E-04,-7.756100E-01
27,+5.022000E-04,+7.980620E-01,+5.022460E-04,-7.821320E-01
28,+6.322000E-04,+8.084100E-01,+6.324790E-04,-7.887800E-01
29,+7.960000E-04,+8.197500E-01,+7.963810E-04,-7.954840E-01
30,+1.002000E-03,+8.325220E-01,+1.002380E-03,-8.022340E-01
31,+1.262000E-03,+8.466940E-01,+1.262050E-03,-8.090400E-01
32,+1.589000E-03,+8.628380E-01,+1.589150E-03,-8.159020E-01
33,+2.000000E-03,+8.811520E-01,+2.000830E-03,-8.233200E-01
