,I2,V2,If,Vf
0,+1.000000E-06,+2.400600E-02,+1.963400E-06,-2.296800E-02
1,+1.259000E-06,+8.129000E-02,+2.159300E-06,-8.565000E-02
2,+1.585000E-06,+9.661600E-02,+2.369000E-06,-9.951600E-02
3,+1.996000E-06,+1.108480E-01,+2.800700E-06,-1.101400E-01
4,+2.513000E-06,+1.214100E-01,+3.173000E-06,-1.199140E-01
5,+3.163000E-06,+1.310760E-01,+3.639920E-06,-1.306340E-01
6,+3.983000E-06,+1.427120E-01,+4.480590E-06,-1.411480E-01
7,+5.014000E-06,+1.308320E-01,+5.423100E-06,-1.292480E-01
8,+6.313000E-06,+1.682740E-01,+6.683000E-06,-1.663760E-01
9,+7.948000E-06,+1.856420E-01,+8.167400E-06,-1.843240E-01
10,+1.001000E-05,+2.066520E-01,+9.962360E-06,-2.049680E-01
11,+1.260000E-05,+2.331260E-01,+1.261850E-05,-2.331600E-01
12,+1.586000E-05,+2.673640E-01,+1.584180E-05,-2.706480E-01
13,+1.997000E-05,+3.073080E-01,+1.982390E-05,-3.095440E-01
14,+2.514000E-05,+3.477880E-01,+2.477330E-05,-3.487320E-01
15,+3.166000E-05,+3.819840E-01,+3.110460E-05,-3.825460E-01
16,+3.986000E-05,+4.090780E-01,+3.917780E-05,-4.083040E-01
17,+5.018000E-05,+4.319980E-01,+4.921420E-05,-4.297080E-01
18,+6.318000E-05,+4.494860E-01,+6.199460E-05,-4.458560E-01
19,+7.954000E-05,+4.641320E-01,+7.816760E-05,-4.599620E-01
20,+1.001000E-04,+4.779820E-01,+9.843800E-05,-4.731120E-01
21,+1.261000E-04,+4.862880E-01,+1.237500E-04,-4.809100E-01
22,+1.587000E-04,+5.040400E-01,+1.562990E-04,-4.975920E-01
23,+1.999000E-04,+5.171680E-01,+1.972070E-04,-5.093360E-01
24,+2.516000E-04,+5.304660E-01,+2.488150E-04,-5.204100E-01
25,+3.168000E-04,+5.440980E-01,+3.139200E-04,-5.325940E-01
26,+3.989000E-04,+5.582620E-01,+3.958620E-04,-5.442480E-01
27,+5.022000E-04,+5.729440E-01,+4.990280E-04,-5.559280E-01
28,+6.322000E-04,+5.885140E-01,+6.298100E-04,-5.674400E-01
29,+7.960000E-04,+6.049640E-01,+7.932600E-04,-5.788360E-01
30,+1.002000E-03,+6.230760E-01,+9.991600E-04,-5.904040E-01
31,+1.262000E-03,+6.423260E-01,+1.258560E-03,-6.018360E-01
32,+1.589000E-03,+6.635540E-01,+1.583300E-03,-6.132040E-01
33,+2.000000E-03,+6.877380E-01,+1.996750E-03,-6.251240E-01
