,I2,V2,If,Vf
0,+1.000000E-06,+6.207920E-01,+1.602500E-06,-6.149560E-01
1,+1.259000E-06,+1.015790E+00,+1.776380E-06,-1.006934E+00
2,+1.585000E-06,+1.017738E+00,+2.113600E-06,-6.982020E-01
3,+1.996000E-06,+1.019724E+00,+2.490510E-06,-1.017900E+00
4,+2.513000E-06,+1.021868E+00,+3.026470E-06,-1.019938E+00
5,+3.163000E-06,+7.613280E-01,+3.678570E-06,-7.657000E-01
6,+3.983000E-06,+1.026294E+00,+4.473640E-06,-1.024320E+00
7,+5.014000E-06,+1.028610E+00,+5.533710E-06,-1.023974E+00
8,+6.313000E-06,+1.028728E+00,+6.826290E-06,-1.026580E+00
9,+7.948000E-06,+1.033322E+00,+8.427340E-06,-1.031158E+00
10,+1.001000E-05,+1.035868E+00,+1.105020E-05,-1.033462E+00
11,+1.260000E-05,+1.038460E+00,+1.374010E-05,-1.035766E+00
12,+1.586000E-05,+1.040732E+00,+1.704390E-05,-1.037986E+00
13,+1.997000E-05,+1.041960E+00,+2.120160E-05,-1.038950E+00
14,+2.514000E-05,+1.045256E+00,+2.638140E-05,-1.042182E+00
15,+3.166000E-05,+1.047400E+00,+3.189400E-05,-1.044140E+00
16,+3.986000E-05,+1.048850E+00,+4.111690E-05,-1.045358E+00
17,+5.018000E-05,+1.051584E+00,+5.146170E-05,-1.047880E+00
18,+6.318000E-05,+1.053636E+00,+6.450410E-05,-1.049658E+00
19,+7.954000E-05,+1.055782E+00,+8.087940E-05,-1.050992E+00
20,+1.001000E-04,+1.057324E+00,+1.001740E-04,-1.052916E+00
21,+1.261000E-04,+1.059856E+00,+1.261750E-04,-1.054700E+00
22,+1.587000E-04,+1.062508E+00,+1.586960E-04,-1.056462E+00
23,+1.999000E-04,+1.065384E+00,+1.998100E-04,-1.058242E+00
24,+2.516000E-04,+1.068558E+00,+2.516000E-04,-1.060004E+00
25,+3.168000E-04,+1.072118E+00,+3.169210E-04,-1.061830E+00
26,+3.989000E-04,+1.076174E+00,+3.991180E-04,-1.063738E+00
27,+5.022000E-04,+1.080878E+00,+5.031300E-04,-1.065656E+00
28,+6.322000E-04,+1.086368E+00,+6.333100E-04,-1.067750E+00
29,+7.960000E-04,+1.092878E+00,+7.970000E-04,-1.069936E+00
30,+1.002000E-03,+1.100882E+00,+1.002720E-03,-1.072266E+00
31,+1.262000E-03,+1.110260E+00,+1.262570E-03,-1.074812E+00
32,+1.589000E-03,+1.121690E+00,+1.589640E-03,-1.077536E+00
33,+2.000000E-03,+1.135600E+00,+2.001250E-03,-1.080460E+00
