,I2,V2,If,Vf
0,+1.000000E-06,+4.393640E-01,+2.854200E-06,-4.171860E-01
1,+1.259000E-06,+9.751280E-01,+2.953800E-06,-9.716100E-01
2,+1.585000E-06,+9.776480E-01,+3.309300E-06,-9.751960E-01
3,+1.996000E-06,+9.954260E-01,+3.657910E-06,-9.928920E-01
4,+2.513000E-06,+9.971220E-01,+4.246670E-06,-9.947920E-01
5,+3.163000E-06,+6.344720E-01,+4.994130E-06,-6.350420E-01
6,+3.983000E-06,+9.910580E-01,+5.687800E-06,-9.880480E-01
7,+5.014000E-06,+1.002844E+00,+5.368000E-06,-1.000300E+00
8,+6.313000E-06,+9.968720E-01,+7.933800E-06,-9.943540E-01
9,+7.948000E-06,+1.000198E+00,+9.837070E-06,-9.972740E-01
10,+1.001000E-05,+7.507620E-01,+1.168200E-05,-7.452820E-01
11,+1.260000E-05,+1.007004E+00,+1.426730E-05,-1.003800E+00
12,+1.586000E-05,+1.013778E+00,+1.757250E-05,-1.010724E+00
13,+1.997000E-05,+1.013456E+00,+2.173240E-05,-1.010084E+00
14,+2.514000E-05,+1.018868E+00,+2.695730E-05,-1.015404E+00
15,+3.166000E-05,+1.021478E+00,+3.358360E-05,-1.017776E+00
16,+3.986000E-05,+1.024046E+00,+4.167470E-05,-1.020108E+00
17,+5.018000E-05,+1.025668E+00,+5.206120E-05,-1.021500E+00
18,+6.318000E-05,+1.028552E+00,+6.498310E-05,-1.024196E+00
19,+7.954000E-05,+1.032028E+00,+8.119280E-05,-1.027528E+00
20,+1.001000E-04,+9.769760E-01,+1.015809E-04,-9.743120E-01
21,+1.261000E-04,+9.904460E-01,+1.263080E-04,-9.866500E-01
22,+1.587000E-04,+1.040746E+00,+1.590010E-04,-1.034290E+00
23,+1.999000E-04,+1.044364E+00,+2.012300E-04,-1.036716E+00
24,+2.516000E-04,+1.048068E+00,+2.529500E-04,-1.039044E+00
25,+3.168000E-04,+1.052100E+00,+3.180500E-04,-1.041316E+00
26,+3.989000E-04,+1.056586E+00,+4.003000E-04,-1.043604E+00
27,+5.022000E-04,+1.061596E+00,+5.035300E-04,-1.045858E+00
28,+6.322000E-04,+1.067320E+00,+6.337000E-04,-1.048198E+00
29,+7.960000E-04,+1.074038E+00,+7.974300E-04,-1.050572E+00
30,+1.002000E-03,+1.069280E+00,+1.003190E-03,-1.041020E+00
31,+1.262000E-03,+1.091710E+00,+1.262600E-03,-1.055644E+00
32,+1.589000E-03,+1.095320E+00,+1.589990E-03,-1.051344E+00
33,+2.000000E-03,+1.117078E+00,+2.002200E-03,-1.061362E+00
