,I2,V2,If,Vf
0,+1.000000E-06,+7.546720E-01,+2.177900E-06,-7.565000E-01
1,+1.259000E-06,+1.070402E+00,+2.164400E-06,-1.069088E+00
2,+1.585000E-06,+1.071584E+00,+2.460990E-06,-1.070274E+00
3,+1.996000E-06,+1.072792E+00,+2.913460E-06,-1.071392E+00
4,+2.513000E-06,+1.070048E+00,+3.418850E-06,-1.068282E+00
5,+3.163000E-06,+1.075340E+00,+4.157900E-06,-1.073908E+00
6,+3.983000E-06,+1.076662E+00,+4.934420E-06,-1.075228E+00
7,+5.014000E-06,+8.790200E-01,+5.932100E-06,-8.804260E-01
8,+6.313000E-06,+1.079486E+00,+7.222240E-06,-1.077968E+00
9,+7.948000E-06,+9.137780E-01,+8.799000E-06,-9.139700E-01
10,+1.001000E-05,+1.082670E+00,+1.093000E-05,-1.080798E+00
11,+1.260000E-05,+1.082804E+00,+1.346380E-05,-1.080938E+00
12,+1.586000E-05,+1.085862E+00,+1.681340E-05,-1.083956E+00
13,+1.997000E-05,+1.087664E+00,+2.099030E-05,-1.085542E+00
14,+2.514000E-05,+1.088558E+00,+2.610790E-05,-1.086272E+00
15,+3.166000E-05,+1.091330E+00,+3.261490E-05,-1.088810E+00
16,+3.986000E-05,+1.093128E+00,+4.087170E-05,-1.090432E+00
17,+5.018000E-05,+1.094882E+00,+5.115090E-05,-1.091934E+00
18,+6.318000E-05,+1.096648E+00,+6.402920E-05,-1.093416E+00
19,+7.954000E-05,+1.098346E+00,+8.027510E-05,-1.094820E+00
20,+1.001000E-04,+1.070120E+00,+1.003880E-04,-1.066394E+00
21,+1.261000E-04,+1.102056E+00,+1.262430E-04,-1.097562E+00
22,+1.587000E-04,+1.104368E+00,+1.589670E-04,-1.099002E+00
23,+1.999000E-04,+1.106988E+00,+2.001300E-04,-1.100518E+00
24,+2.516000E-04,+1.110034E+00,+2.518620E-04,-1.102190E+00
25,+3.168000E-04,+1.113632E+00,+3.169960E-04,-1.104062E+00
26,+3.989000E-04,+1.117878E+00,+3.990780E-04,-1.106138E+00
27,+5.022000E-04,+1.122974E+00,+5.023290E-04,-1.108450E+00
28,+6.322000E-04,+1.128906E+00,+6.327440E-04,-1.110992E+00
29,+7.960000E-04,+1.135960E+00,+7.964290E-04,-1.113730E+00
30,+1.002000E-03,+1.144476E+00,+1.002540E-03,-1.116654E+00
31,+1.262000E-03,+1.154422E+00,+1.262200E-03,-1.119774E+00
32,+1.589000E-03,+1.166436E+00,+1.589150E-03,-1.123182E+00
33,+2.000000E-03,+1.181124E+00,+2.000860E-03,-1.126982E+00
