,I2,V2,If,Vf
0,+1.000000E-06,+1.767140E-01,+1.579410E-06,-1.775960E-01
1,+1.259000E-06,+4.179480E-01,+1.669910E-06,-4.166220E-01
2,+1.585000E-06,+2.441820E-01,+1.986090E-06,-2.446780E-01
3,+1.996000E-06,+4.322500E-01,+2.423800E-06,-4.309360E-01
4,+2.513000E-06,+4.396880E-01,+2.910180E-06,-4.381380E-01
5,+3.163000E-06,+4.470720E-01,+3.580400E-06,-3.123020E-01
6,+3.983000E-06,+4.545380E-01,+4.414940E-06,-4.529280E-01
7,+5.014000E-06,+4.579260E-01,+5.426610E-06,-4.563580E-01
8,+6.313000E-06,+4.697360E-01,+6.729300E-06,-4.679760E-01
9,+7.948000E-06,+4.772300E-01,+8.399000E-06,-4.754520E-01
10,+1.001000E-05,+4.850820E-01,+1.046550E-05,-4.832500E-01
11,+1.260000E-05,+4.929160E-01,+1.297670E-05,-4.908380E-01
12,+1.586000E-05,+5.007040E-01,+1.628480E-05,-4.986420E-01
13,+1.997000E-05,+5.086440E-01,+2.043940E-05,-5.064720E-01
14,+2.514000E-05,+5.167900E-01,+2.561640E-05,-5.143780E-01
15,+3.166000E-05,+5.249880E-01,+3.214620E-05,-5.213940E-01
16,+3.986000E-05,+5.332380E-01,+4.031670E-05,-5.304040E-01
17,+5.018000E-05,+5.416640E-01,+5.067120E-05,-5.385960E-01
18,+6.318000E-05,+5.502620E-01,+6.360900E-05,-5.469240E-01
19,+7.954000E-05,+5.587300E-01,+7.994060E-05,-5.552000E-01
20,+1.001000E-04,+5.683520E-01,+1.004892E-04,-5.639800E-01
21,+1.261000E-04,+5.695120E-01,+1.264560E-04,-5.649900E-01
22,+1.587000E-04,+5.876520E-01,+1.590550E-04,-5.817920E-01
23,+1.999000E-04,+5.980400E-01,+2.002680E-04,-5.909580E-01
24,+2.516000E-04,+6.089220E-01,+2.519280E-04,-6.003160E-01
25,+3.168000E-04,+6.203680E-01,+3.171490E-04,-6.098160E-01
26,+3.989000E-04,+6.324380E-01,+3.992020E-04,-6.194480E-01
27,+5.022000E-04,+6.452260E-01,+5.024330E-04,-6.291820E-01
28,+6.322000E-04,+6.589200E-01,+6.329170E-04,-6.390320E-01
29,+7.960000E-04,+6.736260E-01,+7.963700E-04,-6.488940E-01
30,+1.002000E-03,+6.897600E-01,+1.002140E-03,-6.588000E-01
31,+1.262000E-03,+7.073380E-01,+1.261780E-03,-6.687200E-01
32,+1.589000E-03,+7.269260E-01,+1.588900E-03,-6.786660E-01
33,+2.000000E-03,+7.490340E-01,+2.000560E-03,-6.885680E-01
