,I2,V2,If,Vf
0,+1.000000E-06,+3.371680E-01,+1.919500E-06,-3.264380E-01
1,+1.259000E-06,+8.880700E-01,+2.033820E-06,-8.859540E-01
2,+1.585000E-06,+8.708980E-01,+2.387600E-06,-8.690020E-01
3,+1.996000E-06,+8.933260E-01,+2.748600E-06,-8.912500E-01
4,+2.513000E-06,+8.959520E-01,+3.212080E-06,-8.938720E-01
5,+3.163000E-06,+8.986700E-01,+3.950030E-06,-8.965480E-01
6,+3.983000E-06,+9.013820E-01,+4.753750E-06,-8.991780E-01
7,+5.014000E-06,+9.041360E-01,+5.730070E-06,-9.018200E-01
8,+6.313000E-06,+5.948160E-01,+6.992890E-06,-5.913960E-01
9,+7.948000E-06,+9.096840E-01,+8.649940E-06,-9.072260E-01
10,+1.001000E-05,+9.124940E-01,+9.895000E-06,-9.097340E-01
11,+1.260000E-05,+9.084400E-01,+1.338150E-05,-9.053580E-01
12,+1.586000E-05,+9.182760E-01,+1.671150E-05,-9.152280E-01
13,+1.997000E-05,+9.213100E-01,+2.148770E-05,-9.181080E-01
14,+2.514000E-05,+9.197500E-01,+2.671260E-05,-9.162180E-01
15,+3.166000E-05,+9.272520E-01,+3.190100E-05,-9.236320E-01
16,+3.986000E-05,+9.272760E-01,+4.145640E-05,-9.233420E-01
17,+5.018000E-05,+9.332720E-01,+5.168490E-05,-9.291320E-01
18,+6.318000E-05,+9.363460E-01,+6.464740E-05,-9.319220E-01
19,+7.954000E-05,+9.379560E-01,+8.089150E-05,-9.332900E-01
20,+1.001000E-04,+8.714800E-01,+1.013900E-04,-8.692060E-01
21,+1.261000E-04,+9.457340E-01,+1.273600E-04,-9.401580E-01
22,+1.587000E-04,+9.497380E-01,+1.599600E-04,-9.432800E-01
23,+1.999000E-04,+9.539840E-01,+2.009400E-04,-9.463640E-01
24,+2.516000E-04,+9.585080E-01,+2.528100E-04,-9.495160E-01
25,+3.168000E-04,+9.634580E-01,+3.180200E-04,-9.526940E-01
26,+3.989000E-04,+9.689300E-01,+4.000300E-04,-9.559160E-01
27,+5.022000E-04,+9.750780E-01,+5.031800E-04,-9.592860E-01
28,+6.322000E-04,+9.597240E-01,+6.335500E-04,-9.413900E-01
29,+7.960000E-04,+9.710700E-01,+7.964600E-04,-9.483280E-01
30,+1.002000E-03,+9.997820E-01,+1.003060E-03,-9.702900E-01
31,+1.262000E-03,+1.010874E+00,+1.262570E-03,-9.743820E-01
32,+1.589000E-03,+1.024100E+00,+1.589720E-03,-9.786800E-01
33,+2.000000E-03,+1.039782E+00,+2.001390E-03,-9.832280E-01
