,I2,V2,If,Vf
0,+1.000000E-06,+3.197800E-02,+2.588120E-06,-3.171000E-02
1,+1.259000E-06,+8.283600E-02,+2.986410E-06,-8.530000E-02
2,+1.585000E-06,+6.617800E-02,+3.375650E-06,-6.140400E-02
3,+1.996000E-06,+1.132640E-01,+3.656960E-06,-1.150220E-01
4,+2.513000E-06,+1.269600E-01,+4.086900E-06,-1.275400E-01
5,+3.163000E-06,+1.393140E-01,+4.755000E-06,-1.386380E-01
6,+3.983000E-06,+1.525260E-01,+5.627100E-06,-1.516280E-01
7,+5.014000E-06,+1.686380E-01,+6.820200E-06,-1.682980E-01
8,+6.313000E-06,+1.883960E-01,+7.745700E-06,-1.914400E-01
9,+7.948000E-06,+2.160980E-01,+9.413800E-06,-2.211780E-01
10,+1.001000E-05,+2.547000E-01,+1.145200E-05,-2.616180E-01
11,+1.260000E-05,+2.952880E-01,+1.386180E-05,-2.998900E-01
12,+1.586000E-05,+3.326060E-01,+1.709910E-05,-3.365220E-01
13,+1.997000E-05,+3.659820E-01,+2.116820E-05,-3.676760E-01
14,+2.514000E-05,+3.918060E-01,+2.640560E-05,-3.910320E-01
15,+3.166000E-05,+4.093720E-01,+3.297290E-05,-4.074480E-01
16,+3.986000E-05,+4.265620E-01,+4.028000E-05,-4.236740E-01
17,+5.018000E-05,+4.394520E-01,+5.054000E-05,-4.361060E-01
18,+6.318000E-05,+4.521120E-01,+6.431810E-05,-4.484060E-01
19,+7.954000E-05,+4.646160E-01,+8.034800E-05,-4.603480E-01
20,+1.001000E-04,+4.772940E-01,+1.007565E-04,-4.717980E-01
21,+1.261000E-04,+4.849540E-01,+1.260010E-04,-4.791160E-01
22,+1.587000E-04,+5.007960E-01,+1.585350E-04,-4.941960E-01
23,+1.999000E-04,+5.133500E-01,+1.995150E-04,-5.054180E-01
24,+2.516000E-04,+5.262700E-01,+2.513660E-04,-5.166800E-01
25,+3.168000E-04,+5.395600E-01,+3.164710E-04,-5.280440E-01
26,+3.989000E-04,+5.534560E-01,+3.993200E-04,-5.394200E-01
27,+5.022000E-04,+5.680520E-01,+5.024800E-04,-5.508680E-01
28,+6.322000E-04,+5.842400E-01,+6.316190E-04,-5.628080E-01
29,+7.960000E-04,+5.998820E-01,+7.960900E-04,-5.738360E-01
30,+1.002000E-03,+6.179580E-01,+1.001519E-03,-5.852940E-01
31,+1.262000E-03,+6.371740E-01,+1.261750E-03,-5.967580E-01
32,+1.589000E-03,+6.583600E-01,+1.588730E-03,-6.082020E-01
33,+2.000000E-03,+6.821820E-01,+2.000310E-03,-6.195820E-01
