,I2,V2,If,Vf
0,+1.000000E-06,+3.124080E-01,+1.430080E-06,-3.105280E-01
1,+1.259000E-06,+5.742060E-01,+1.553020E-06,-5.727020E-01
2,+1.585000E-06,+5.798680E-01,+1.904650E-06,-5.788980E-01
3,+1.996000E-06,+3.969400E-01,+2.319810E-06,-3.958880E-01
4,+2.513000E-06,+5.924420E-01,+2.799500E-06,-5.910940E-01
5,+3.163000E-06,+5.985360E-01,+3.446420E-06,-5.972580E-01
6,+3.983000E-06,+6.046900E-01,+4.254790E-06,-6.033620E-01
7,+5.014000E-06,+4.828860E-01,+5.345070E-06,-4.823180E-01
8,+6.313000E-06,+6.170040E-01,+6.644370E-06,-6.157360E-01
9,+7.948000E-06,+6.232580E-01,+8.268360E-06,-6.218900E-01
10,+1.001000E-05,+5.466600E-01,+1.061830E-05,-5.446460E-01
11,+1.260000E-05,+6.361160E-01,+1.331790E-05,-6.344400E-01
12,+1.586000E-05,+6.423600E-01,+1.661210E-05,-6.405680E-01
13,+1.997000E-05,+6.487860E-01,+2.063320E-05,-6.467420E-01
14,+2.514000E-05,+6.553180E-01,+2.588720E-05,-6.530380E-01
15,+3.166000E-05,+6.616660E-01,+3.242480E-05,-6.592960E-01
16,+3.986000E-05,+6.681460E-01,+4.054110E-05,-6.655580E-01
17,+5.018000E-05,+6.747780E-01,+5.082710E-05,-6.719460E-01
18,+6.318000E-05,+6.814960E-01,+6.382200E-05,-6.783840E-01
19,+7.954000E-05,+6.879540E-01,+8.012270E-05,-6.846360E-01
20,+1.001000E-04,+6.957060E-01,+1.006091E-04,-6.915280E-01
21,+1.261000E-04,+6.914880E-01,+1.265070E-04,-6.870360E-01
22,+1.587000E-04,+7.107880E-01,+1.590690E-04,-7.051520E-01
23,+1.999000E-04,+7.189900E-01,+2.002880E-04,-7.121580E-01
24,+2.516000E-04,+7.276560E-01,+2.520190E-04,-7.193000E-01
25,+3.168000E-04,+7.368060E-01,+3.171760E-04,-7.265700E-01
26,+3.989000E-04,+7.465480E-01,+3.991980E-04,-7.339480E-01
27,+5.022000E-04,+7.570180E-01,+5.025170E-04,-7.414280E-01
28,+6.322000E-04,+7.683400E-01,+6.329770E-04,-7.490000E-01
29,+7.960000E-04,+7.806580E-01,+7.963900E-04,-7.566400E-01
30,+1.002000E-03,+7.943380E-01,+1.002240E-03,-7.643080E-01
31,+1.262000E-03,+8.094680E-01,+1.261870E-03,-7.720120E-01
32,+1.589000E-03,+8.265020E-01,+1.588970E-03,-7.797620E-01
33,+2.000000E-03,+8.460380E-01,+2.000640E-03,-7.874980E-01
