,I2,V2,If,Vf
0,+1.000000E-06,+2.928500E-01,+1.717800E-06,-2.895460E-01
1,+1.259000E-06,+5.148780E-01,+1.800850E-06,-5.136140E-01
2,+1.585000E-06,+5.212920E-01,+2.045610E-06,-5.199280E-01
3,+1.996000E-06,+5.276620E-01,+2.489920E-06,-5.265260E-01
4,+2.513000E-06,+5.340760E-01,+3.007320E-06,-5.327740E-01
5,+3.163000E-06,+4.159300E-01,+3.670950E-06,-4.152700E-01
6,+3.983000E-06,+5.472540E-01,+4.472570E-06,-5.457640E-01
7,+5.014000E-06,+5.538320E-01,+5.512080E-06,-5.524800E-01
8,+6.313000E-06,+5.604900E-01,+6.824310E-06,-5.589560E-01
9,+7.948000E-06,+4.972900E-01,+8.429100E-06,-4.958680E-01
10,+1.001000E-05,+5.739640E-01,+1.053420E-05,-5.723840E-01
11,+1.260000E-05,+5.807860E-01,+1.307650E-05,-5.790520E-01
12,+1.586000E-05,+5.876740E-01,+1.633060E-05,-5.858940E-01
13,+1.997000E-05,+5.946400E-01,+2.050920E-05,-5.927960E-01
14,+2.514000E-05,+6.003780E-01,+2.569230E-05,-5.984020E-01
15,+3.166000E-05,+6.088900E-01,+3.229790E-05,-6.066460E-01
16,+3.986000E-05,+6.161080E-01,+4.043120E-05,-6.136080E-01
17,+5.018000E-05,+6.234860E-01,+5.070940E-05,-6.206780E-01
18,+6.318000E-05,+6.310180E-01,+6.374160E-05,-6.278520E-01
19,+7.954000E-05,+6.385740E-01,+8.006130E-05,-6.351360E-01
20,+1.001000E-04,+6.467260E-01,+1.004478E-04,-6.425160E-01
21,+1.261000E-04,+6.471600E-01,+1.262690E-04,-6.426620E-01
22,+1.587000E-04,+6.634780E-01,+1.589360E-04,-6.577940E-01
23,+1.999000E-04,+6.725420E-01,+2.000270E-04,-6.656680E-01
24,+2.516000E-04,+6.820720E-01,+2.516980E-04,-6.737100E-01
25,+3.168000E-04,+6.921120E-01,+3.169500E-04,-6.818660E-01
26,+3.989000E-04,+7.027900E-01,+3.990200E-04,-6.901260E-01
27,+5.022000E-04,+7.141800E-01,+5.023360E-04,-6.985160E-01
28,+6.322000E-04,+7.264280E-01,+6.327150E-04,-7.070060E-01
29,+7.960000E-04,+7.397300E-01,+7.963700E-04,-7.155400E-01
30,+1.002000E-03,+7.543980E-01,+1.002300E-03,-7.241200E-01
31,+1.262000E-03,+7.705140E-01,+1.261870E-03,-7.327240E-01
32,+1.589000E-03,+7.886040E-01,+1.588740E-03,-7.413800E-01
33,+2.000000E-03,+8.091340E-01,+2.000420E-03,-7.499740E-01
