,I2,V2,If,Vf
0,+1.000000E-06,+1.979820E-01,+1.883940E-06,-1.959060E-01
1,+1.259000E-06,+4.230600E-01,+1.970800E-06,-4.212340E-01
2,+1.585000E-06,+4.294080E-01,+2.242710E-06,-4.280740E-01
3,+1.996000E-06,+4.364780E-01,+2.703440E-06,-4.352580E-01
4,+2.513000E-06,+4.431100E-01,+3.184980E-06,-4.418160E-01
5,+3.163000E-06,+4.503740E-01,+3.847160E-06,-4.488380E-01
6,+3.983000E-06,+4.575560E-01,+4.685400E-06,-4.560140E-01
7,+5.014000E-06,+4.648800E-01,+5.684800E-06,-4.632700E-01
8,+6.313000E-06,+4.722300E-01,+7.011300E-06,-4.705880E-01
9,+7.948000E-06,+4.796820E-01,+8.619700E-06,-4.779900E-01
10,+1.001000E-05,+4.873000E-01,+1.086751E-05,-4.856300E-01
11,+1.260000E-05,+4.497100E-01,+1.330600E-05,-4.476540E-01
12,+1.586000E-05,+5.027020E-01,+1.654740E-05,-5.008660E-01
13,+1.997000E-05,+5.107080E-01,+2.070660E-05,-5.087100E-01
14,+2.514000E-05,+5.187260E-01,+2.598400E-05,-5.165680E-01
15,+3.166000E-05,+5.269160E-01,+3.240070E-05,-5.244520E-01
16,+3.986000E-05,+5.352080E-01,+4.065960E-05,-5.324880E-01
17,+5.018000E-05,+5.434760E-01,+5.095440E-05,-5.406140E-01
18,+6.318000E-05,+5.520660E-01,+6.388810E-05,-5.488280E-01
19,+7.954000E-05,+5.608700E-01,+8.018000E-05,-5.572620E-01
20,+1.001000E-04,+5.702140E-01,+1.006719E-04,-5.658080E-01
21,+1.261000E-04,+5.727040E-01,+1.265270E-04,-5.679800E-01
22,+1.587000E-04,+5.894280E-01,+1.591720E-04,-5.835660E-01
23,+1.999000E-04,+5.998060E-01,+2.003550E-04,-5.927060E-01
24,+2.516000E-04,+6.106480E-01,+2.520540E-04,-6.020220E-01
25,+3.168000E-04,+6.220620E-01,+3.172450E-04,-6.114820E-01
26,+3.989000E-04,+6.340760E-01,+3.992750E-04,-6.210960E-01
27,+5.022000E-04,+6.468200E-01,+5.026070E-04,-6.307900E-01
28,+6.322000E-04,+6.604760E-01,+6.330960E-04,-6.406020E-01
29,+7.960000E-04,+6.751340E-01,+7.965600E-04,-6.504360E-01
30,+1.002000E-03,+6.912640E-01,+1.002330E-03,-6.603020E-01
31,+1.262000E-03,+7.087440E-01,+1.261970E-03,-6.702200E-01
32,+1.589000E-03,+7.282520E-01,+1.589030E-03,-6.801260E-01
33,+2.000000E-03,+7.503180E-01,+2.000730E-03,-6.900160E-01
