,I2,V2,If,Vf
0,+1.000000E-06,+6.074400E-02,+1.622100E-06,-5.826400E-02
1,+1.259000E-06,+3.107140E-01,+1.922900E-06,-3.084840E-01
2,+1.585000E-06,+3.193860E-01,+2.244500E-06,-3.170520E-01
3,+1.996000E-06,+3.276760E-01,+2.653680E-06,-3.256520E-01
4,+2.513000E-06,+3.361860E-01,+3.202640E-06,-3.339080E-01
5,+3.163000E-06,+3.444100E-01,+3.815410E-06,-3.424840E-01
6,+3.983000E-06,+2.475980E-01,+4.647630E-06,-2.473480E-01
7,+5.014000E-06,+3.615400E-01,+5.648290E-06,-3.592520E-01
8,+6.313000E-06,+3.698280E-01,+6.995000E-06,-3.676860E-01
9,+7.948000E-06,+3.783440E-01,+8.608260E-06,-3.761060E-01
10,+1.001000E-05,+3.875820E-01,+1.073130E-05,-3.850220E-01
11,+1.260000E-05,+3.961020E-01,+1.333580E-05,-3.935240E-01
12,+1.586000E-05,+4.049360E-01,+1.655130E-05,-4.023360E-01
13,+1.997000E-05,+4.140080E-01,+2.012800E-05,-4.112300E-01
14,+2.514000E-05,+4.219360E-01,+2.592810E-05,-4.189400E-01
15,+3.166000E-05,+4.324620E-01,+3.240300E-05,-4.282420E-01
16,+3.986000E-05,+4.418320E-01,+4.059480E-05,-4.384080E-01
17,+5.018000E-05,+4.509080E-01,+5.094460E-05,-4.472580E-01
18,+6.318000E-05,+4.608340E-01,+6.383870E-05,-4.569060E-01
19,+7.954000E-05,+4.712740E-01,+8.009890E-05,-4.669080E-01
20,+1.001000E-04,+4.814000E-01,+9.999400E-05,-4.767340E-01
21,+1.261000E-04,+4.923700E-01,+1.260460E-04,-4.869680E-01
22,+1.587000E-04,+5.038020E-01,+1.587170E-04,-4.973240E-01
23,+1.999000E-04,+5.156080E-01,+1.997430E-04,-5.079100E-01
24,+2.516000E-04,+5.279520E-01,+2.515210E-04,-5.186840E-01
25,+3.168000E-04,+5.408740E-01,+3.167460E-04,-5.296320E-01
26,+3.989000E-04,+5.543780E-01,+3.989290E-04,-5.406840E-01
27,+5.022000E-04,+5.687560E-01,+5.024360E-04,-5.518640E-01
28,+6.322000E-04,+5.839480E-01,+6.327900E-04,-5.631340E-01
29,+7.960000E-04,+6.001720E-01,+7.965000E-04,-5.744160E-01
30,+1.002000E-03,+6.179060E-01,+1.002610E-03,-5.857840E-01
31,+1.262000E-03,+6.369780E-01,+1.261900E-03,-5.971060E-01
32,+1.589000E-03,+6.580800E-01,+1.589290E-03,-6.089560E-01
33,+2.000000E-03,+6.818500E-01,+2.001020E-03,-6.197300E-01
