,I2,V2,If,Vf
0,+1.000000E-06,+2.979500E-01,+1.712300E-06,-2.982000E-01
1,+1.259000E-06,+8.069280E-01,+1.962760E-06,-8.048300E-01
2,+1.585000E-06,+8.103060E-01,+2.296480E-06,-8.080840E-01
3,+1.996000E-06,+7.992800E-01,+2.739930E-06,-7.967360E-01
4,+2.513000E-06,+8.169640E-01,+3.254000E-06,-8.149600E-01
5,+3.163000E-06,+4.748760E-01,+3.873350E-06,-4.790360E-01
6,+3.983000E-06,+8.240720E-01,+4.783860E-06,-8.217100E-01
7,+5.014000E-06,+8.275500E-01,+5.700400E-06,-8.252480E-01
8,+6.313000E-06,+8.309980E-01,+6.995200E-06,-8.286580E-01
9,+7.948000E-06,+8.268240E-01,+8.670600E-06,-8.242820E-01
10,+1.001000E-05,+8.310280E-01,+1.095119E-05,-8.280640E-01
11,+1.260000E-05,+6.098920E-01,+1.341780E-05,-6.085300E-01
12,+1.586000E-05,+8.456600E-01,+1.668860E-05,-8.425820E-01
13,+1.997000E-05,+8.493500E-01,+2.082690E-05,-8.461240E-01
14,+2.514000E-05,+8.492680E-01,+2.606370E-05,-8.458920E-01
15,+3.166000E-05,+8.536240E-01,+3.256320E-05,-8.500540E-01
16,+3.986000E-05,+8.579660E-01,+4.077520E-05,-8.542060E-01
17,+5.018000E-05,+8.643720E-01,+5.113360E-05,-8.603220E-01
18,+6.318000E-05,+8.681900E-01,+6.412590E-05,-8.639220E-01
19,+7.954000E-05,+8.721260E-01,+8.047250E-05,-8.675760E-01
20,+1.001000E-04,+8.161180E-01,+1.002040E-04,-8.131720E-01
21,+1.261000E-04,+8.796740E-01,+1.261420E-04,-8.743180E-01
22,+1.587000E-04,+8.844980E-01,+1.588730E-04,-8.782580E-01
23,+1.999000E-04,+8.895020E-01,+1.998400E-04,-8.821360E-01
24,+2.516000E-04,+8.948320E-01,+2.516770E-04,-8.860620E-01
25,+3.168000E-04,+9.007160E-01,+3.168640E-04,-8.900320E-01
26,+3.989000E-04,+9.070660E-01,+3.989560E-04,-8.940820E-01
27,+5.022000E-04,+9.141080E-01,+5.024190E-04,-8.982760E-01
28,+6.322000E-04,+9.220420E-01,+6.329800E-04,-9.026640E-01
29,+7.960000E-04,+9.310660E-01,+7.965800E-04,-9.071720E-01
30,+1.002000E-03,+9.295440E-01,+1.002510E-03,-9.009360E-01
31,+1.262000E-03,+9.536380E-01,+1.262160E-03,-9.168360E-01
32,+1.589000E-03,+9.677860E-01,+1.589130E-03,-9.219620E-01
33,+2.000000E-03,+9.844640E-01,+2.001600E-03,-9.272940E-01
