,I2,V2,If,Vf
0,+1.000000E-06,+1.036240E-01,+2.167600E-06,-1.059640E-01
1,+1.259000E-06,+3.460260E-01,+2.425100E-06,-3.444740E-01
2,+1.585000E-06,+3.532440E-01,+2.669410E-06,-3.517500E-01
3,+1.996000E-06,+3.535260E-01,+3.200750E-06,-3.519280E-01
4,+2.513000E-06,+2.323420E-01,+3.666740E-06,-2.309860E-01
5,+3.163000E-06,+3.698160E-01,+4.292180E-06,-3.678680E-01
6,+3.983000E-06,+3.861060E-01,+5.124990E-06,-3.816840E-01
7,+5.014000E-06,+3.943480E-01,+6.153200E-06,-3.054560E-01
8,+6.313000E-06,+3.988840E-01,+7.369400E-06,-3.972720E-01
9,+7.948000E-06,+4.069480E-01,+9.184480E-06,-4.051600E-01
10,+1.001000E-05,+4.155440E-01,+1.105580E-05,-4.134120E-01
11,+1.260000E-05,+4.238900E-01,+1.373230E-05,-4.216820E-01
12,+1.586000E-05,+4.323280E-01,+1.696370E-05,-4.300860E-01
13,+1.997000E-05,+4.409880E-01,+2.110220E-05,-4.386700E-01
14,+2.514000E-05,+4.499180E-01,+2.628700E-05,-4.473280E-01
15,+3.166000E-05,+4.588060E-01,+3.281350E-05,-4.560960E-01
16,+3.986000E-05,+4.678620E-01,+4.102110E-05,-4.649540E-01
17,+5.018000E-05,+4.771220E-01,+5.125500E-05,-4.738740E-01
18,+6.318000E-05,+4.865600E-01,+6.415410E-05,-4.830220E-01
19,+7.954000E-05,+4.962380E-01,+8.043820E-05,-4.923700E-01
20,+1.001000E-04,+5.067480E-01,+1.008600E-04,-5.018640E-01
21,+1.261000E-04,+5.120680E-01,+1.268000E-04,-5.068140E-01
22,+1.587000E-04,+5.277500E-01,+1.591660E-04,-5.216060E-01
23,+1.999000E-04,+5.391960E-01,+2.002750E-04,-5.318200E-01
24,+2.516000E-04,+5.511680E-01,+2.519830E-04,-5.422080E-01
25,+3.168000E-04,+5.636720E-01,+3.172410E-04,-5.527340E-01
26,+3.989000E-04,+5.768300E-01,+3.992740E-04,-5.633980E-01
27,+5.022000E-04,+5.906980E-01,+5.025350E-04,-5.741880E-01
28,+6.322000E-04,+6.054340E-01,+6.328330E-04,-5.850720E-01
29,+7.960000E-04,+6.213080E-01,+7.965820E-04,-5.959540E-01
30,+1.002000E-03,+6.387080E-01,+1.002760E-03,-6.069220E-01
31,+1.262000E-03,+6.574400E-01,+1.262370E-03,-6.178660E-01
32,+1.589000E-03,+6.781660E-01,+1.589430E-03,-6.288400E-01
33,+2.000000E-03,+7.014660E-01,+2.001140E-03,-6.397280E-01
