,I2,V2,If,Vf
0,+1.000000E-06,+5.172800E-02,+2.358900E-06,-4.787200E-02
1,+1.259000E-06,+3.076380E-01,+1.273000E-06,-3.063420E-01
2,+1.585000E-06,+3.162080E-01,+2.571500E-06,-3.144380E-01
3,+1.996000E-06,+3.324320E-01,+2.966300E-06,-3.309600E-01
4,+2.513000E-06,+3.330420E-01,+3.495700E-06,-3.315060E-01
5,+3.163000E-06,+3.481900E-01,+4.166000E-06,-3.467640E-01
6,+3.983000E-06,+3.563260E-01,+5.008000E-06,-3.549260E-01
7,+5.014000E-06,+3.645260E-01,+6.060710E-06,-3.629760E-01
8,+6.313000E-06,+3.727140E-01,+7.379160E-06,-3.711620E-01
9,+7.948000E-06,+3.811600E-01,+9.116930E-06,-3.794800E-01
10,+1.001000E-05,+3.898100E-01,+1.109150E-05,-3.880100E-01
11,+1.260000E-05,+3.983120E-01,+1.369400E-05,-3.964780E-01
12,+1.586000E-05,+4.070920E-01,+1.693490E-05,-4.051020E-01
13,+1.997000E-05,+4.159580E-01,+1.987200E-05,-4.137840E-01
14,+2.514000E-05,+4.234640E-01,+2.633130E-05,-4.210660E-01
15,+3.166000E-05,+4.329800E-01,+3.283300E-05,-4.303560E-01
16,+3.986000E-05,+4.434200E-01,+4.103570E-05,-4.405360E-01
17,+5.018000E-05,+4.529820E-01,+5.136830E-05,-4.497460E-01
18,+6.318000E-05,+4.627560E-01,+6.430670E-05,-4.591920E-01
19,+7.954000E-05,+4.724080E-01,+8.066230E-05,-4.685120E-01
20,+1.001000E-04,+4.728640E-01,+1.000860E-04,-4.689780E-01
21,+1.261000E-04,+4.934640E-01,+1.260510E-04,-4.884600E-01
22,+1.587000E-04,+5.048040E-01,+1.586930E-04,-4.988060E-01
23,+1.999000E-04,+5.165880E-01,+1.997780E-04,-5.093300E-01
24,+2.516000E-04,+5.288680E-01,+2.515510E-04,-5.200520E-01
25,+3.168000E-04,+5.417240E-01,+3.167560E-04,-5.309020E-01
26,+3.989000E-04,+5.552100E-01,+3.998100E-04,-5.419080E-01
27,+5.022000E-04,+5.694340E-01,+5.030900E-04,-5.530220E-01
28,+6.322000E-04,+5.845840E-01,+6.333300E-04,-5.642420E-01
29,+7.960000E-04,+6.007460E-01,+7.970200E-04,-5.754800E-01
30,+1.002000E-03,+6.186540E-01,+1.002810E-03,-5.871060E-01
31,+1.262000E-03,+6.373820E-01,+1.262470E-03,-5.980300E-01
32,+1.589000E-03,+6.585360E-01,+1.589550E-03,-6.093180E-01
33,+2.000000E-03,+6.822300E-01,+2.001210E-03,-6.205800E-01
