,I2,V2,If,Vf
0,+1.000000E-06,+4.367600E-02,+2.080100E-06,-4.216600E-02
1,+1.259000E-06,+3.131200E-01,+1.891100E-06,-3.120980E-01
2,+1.585000E-06,+3.213640E-01,+2.262900E-06,-3.204240E-01
3,+1.996000E-06,+3.296300E-01,+2.663300E-06,-3.285600E-01
4,+2.513000E-06,+3.379840E-01,+3.155100E-06,-3.368760E-01
5,+3.163000E-06,+3.403060E-01,+3.762480E-06,-3.389700E-01
6,+3.983000E-06,+3.493560E-01,+4.595300E-06,-3.479340E-01
7,+5.014000E-06,+3.633120E-01,+5.650200E-06,-3.619640E-01
8,+6.313000E-06,+3.672920E-01,+7.023440E-06,-3.658300E-01
9,+7.948000E-06,+3.802960E-01,+8.619200E-06,-3.788640E-01
10,+1.001000E-05,+3.890360E-01,+1.075580E-05,-3.874940E-01
11,+1.260000E-05,+3.948460E-01,+1.332750E-05,-3.931740E-01
12,+1.586000E-05,+4.041640E-01,+1.657040E-05,-4.024400E-01
13,+1.997000E-05,+4.154240E-01,+2.069480E-05,-4.134880E-01
14,+2.514000E-05,+4.244440E-01,+2.588700E-05,-4.223360E-01
15,+3.166000E-05,+4.336160E-01,+3.239430E-05,-4.313120E-01
16,+3.986000E-05,+4.430080E-01,+4.063110E-05,-4.404040E-01
17,+5.018000E-05,+4.519800E-01,+5.094550E-05,-4.491340E-01
18,+6.318000E-05,+4.624900E-01,+6.399180E-05,-4.591300E-01
19,+7.954000E-05,+4.725460E-01,+8.031360E-05,-4.686680E-01
20,+1.001000E-04,+4.823760E-01,+9.996200E-05,-4.783580E-01
21,+1.261000E-04,+4.933400E-01,+1.259230E-04,-4.885700E-01
22,+1.587000E-04,+5.046460E-01,+1.584950E-04,-4.988780E-01
23,+1.999000E-04,+5.164240E-01,+1.996700E-04,-5.094080E-01
24,+2.516000E-04,+5.286920E-01,+2.523600E-04,-5.201060E-01
25,+3.168000E-04,+5.415640E-01,+3.175400E-04,-5.310280E-01
26,+3.989000E-04,+5.550480E-01,+3.996400E-04,-5.420280E-01
27,+5.022000E-04,+5.693020E-01,+5.029100E-04,-5.531480E-01
28,+6.322000E-04,+5.844340E-01,+6.331100E-04,-5.643620E-01
29,+7.960000E-04,+6.006060E-01,+7.968800E-04,-5.755980E-01
30,+1.002000E-03,+6.180740E-01,+1.002420E-03,-5.868240E-01
31,+1.262000E-03,+6.372140E-01,+1.262100E-03,-5.984600E-01
32,+1.589000E-03,+6.583660E-01,+1.589140E-03,-6.094300E-01
33,+2.000000E-03,+6.820080E-01,+2.000810E-03,-6.207120E-01
