,I2,V2,If,Vf
0,+1.000000E-06,+9.763200E-02,+2.340700E-06,-9.559000E-02
1,+1.259000E-06,+3.469860E-01,+2.528100E-06,-3.452480E-01
2,+1.585000E-06,+3.540520E-01,+2.887130E-06,-3.522780E-01
3,+1.996000E-06,+2.003080E-01,+3.261190E-06,-1.982180E-01
4,+2.513000E-06,+3.698180E-01,+3.783560E-06,-3.680160E-01
5,+3.163000E-06,+3.789520E-01,+4.471110E-06,-3.743020E-01
6,+3.983000E-06,+2.794700E-01,+5.250200E-06,-2.775720E-01
7,+5.014000E-06,+3.913780E-01,+6.339700E-06,-3.895420E-01
8,+6.313000E-06,+3.947680E-01,+7.606620E-06,-3.927720E-01
9,+7.948000E-06,+3.468760E-01,+9.133000E-06,-3.448380E-01
10,+1.001000E-05,+4.156100E-01,+1.124150E-05,-4.135000E-01
11,+1.260000E-05,+4.237960E-01,+1.381810E-05,-4.216880E-01
12,+1.586000E-05,+4.323120E-01,+1.708560E-05,-4.302120E-01
13,+1.997000E-05,+4.410160E-01,+2.121820E-05,-4.386600E-01
14,+2.514000E-05,+4.500020E-01,+2.643990E-05,-4.473460E-01
15,+3.166000E-05,+4.588760E-01,+3.290160E-05,-4.560860E-01
16,+3.986000E-05,+4.679280E-01,+4.111050E-05,-4.649240E-01
17,+5.018000E-05,+4.771340E-01,+5.144290E-05,-4.738240E-01
18,+6.318000E-05,+4.865700E-01,+6.435780E-05,-4.829740E-01
19,+7.954000E-05,+4.962080E-01,+8.058620E-05,-4.922520E-01
20,+1.001000E-04,+5.068540E-01,+1.009715E-04,-5.020140E-01
21,+1.261000E-04,+5.117260E-01,+1.265360E-04,-5.063180E-01
22,+1.587000E-04,+5.277780E-01,+1.591780E-04,-5.215580E-01
23,+1.999000E-04,+5.392380E-01,+2.002900E-04,-5.317480E-01
24,+2.516000E-04,+5.511760E-01,+2.520510E-04,-5.421560E-01
25,+3.168000E-04,+5.636840E-01,+3.172280E-04,-5.527200E-01
26,+3.989000E-04,+5.768200E-01,+3.993120E-04,-5.633760E-01
27,+5.022000E-04,+5.906960E-01,+5.026650E-04,-5.741640E-01
28,+6.322000E-04,+6.054200E-01,+6.330000E-04,-5.849960E-01
29,+7.960000E-04,+6.212920E-01,+7.966020E-04,-5.959360E-01
30,+1.002000E-03,+6.386940E-01,+1.002890E-03,-6.068720E-01
31,+1.262000E-03,+6.574280E-01,+1.262510E-03,-6.178120E-01
32,+1.589000E-03,+6.781480E-01,+1.589500E-03,-6.287820E-01
33,+2.000000E-03,+7.014500E-01,+2.001180E-03,-6.396880E-01
