,I2,V2,If,Vf
0,+1.000000E-06,+5.164200E-02,+2.051910E-06,-5.253400E-02
1,+1.259000E-06,+3.033100E-01,+1.945400E-06,-3.022980E-01
2,+1.585000E-06,+3.199220E-01,+2.226300E-06,-3.190940E-01
3,+1.996000E-06,+3.286980E-01,+2.651000E-06,-3.277200E-01
4,+2.513000E-06,+3.373300E-01,+3.167800E-06,-3.361900E-01
5,+3.163000E-06,+3.395300E-01,+3.813500E-06,-3.382980E-01
6,+3.983000E-06,+3.486000E-01,+4.630900E-06,-3.472400E-01
7,+5.014000E-06,+3.576540E-01,+5.671100E-06,-3.563680E-01
8,+6.313000E-06,+3.667860E-01,+6.947700E-06,-3.654160E-01
9,+7.948000E-06,+3.798740E-01,+7.571000E-06,-3.785880E-01
10,+1.001000E-05,+3.852980E-01,+1.073450E-05,-3.837400E-01
11,+1.260000E-05,+3.972900E-01,+1.333070E-05,-3.958400E-01
12,+1.586000E-05,+3.697480E-01,+1.656150E-05,-3.685400E-01
13,+1.997000E-05,+4.152180E-01,+2.073180E-05,-4.133460E-01
14,+2.514000E-05,+4.242560E-01,+2.590520E-05,-4.222360E-01
15,+3.166000E-05,+4.323640E-01,+3.141200E-05,-4.301760E-01
16,+3.986000E-05,+4.419820E-01,+4.060300E-05,-4.395700E-01
17,+5.018000E-05,+4.518760E-01,+5.097060E-05,-4.490880E-01
18,+6.318000E-05,+4.623220E-01,+6.394530E-05,-4.590640E-01
19,+7.954000E-05,+4.724660E-01,+8.029620E-05,-4.687840E-01
20,+1.001000E-04,+4.729780E-01,+1.008500E-04,-4.694520E-01
21,+1.261000E-04,+4.859120E-01,+1.268100E-04,-4.815360E-01
22,+1.587000E-04,+4.990340E-01,+1.594500E-04,-4.936800E-01
23,+1.999000E-04,+5.163980E-01,+1.996580E-04,-5.094440E-01
24,+2.516000E-04,+5.286940E-01,+2.514160E-04,-5.201700E-01
25,+3.168000E-04,+5.415300E-01,+3.165860E-04,-5.310300E-01
26,+3.989000E-04,+5.543260E-01,+3.985950E-04,-5.416040E-01
27,+5.022000E-04,+5.692880E-01,+5.029000E-04,-5.531760E-01
28,+6.322000E-04,+5.843160E-01,+6.331500E-04,-5.645180E-01
29,+7.960000E-04,+6.006140E-01,+7.968400E-04,-5.756340E-01
30,+1.002000E-03,+6.180960E-01,+1.002420E-03,-5.869000E-01
31,+1.262000E-03,+6.372220E-01,+1.262090E-03,-5.982080E-01
32,+1.589000E-03,+6.583820E-01,+1.589140E-03,-6.094900E-01
33,+2.000000E-03,+6.820520E-01,+2.000810E-03,-6.207580E-01
